TransactionID,CustomerID,DateKey,ProductKey,BranchKey,ChannelKey,TransactionTypeKey,OfferKey,CurrencyKey,CurrencyRateKey,CustomerProfileKey,TransactionValueBandKey,AmountOriginal,AmountUSD,CreditCardFeesOriginal,CreditCardFeesUSD,InsuranceFeesOriginal,InsuranceFeesUSD,LatePaymentAmountOriginal,LatePaymentAmountUSD,TotalFeesOriginal,TotalFeesUSD,FeeRate,HasFeeFriction,HasLatePayment,CustomerScore,MonthlyIncome,FeeBurdenZScore,HighFeeBurdenFlag
11,2685,20230104,P015,B002,CH002,TT002,O007,CUR001,20230104-EUR,CP005,TV004,10750.80782115308,11394.78,0.0,0.0,33.97,36.0,0.0,0.0,33.97,36.0,0.003159,True,False,843,9910.87,0.0384,False
12,1769,20231123,P007,B007,CH001,TT001,O003,CUR001,20231123-EUR,CP012,TV004,9476.064540955227,10328.91,40.0,43.6,0.0,0.0,0.0,0.0,40.0,43.6,0.004221,True,False,383,6000.41,0.1692,False
13,7949,20231024,P016,B004,CH004,TT004,O004,CUR001,20231024-EUR,CP011,TV001,347.078478023202,369.01,0.0,0.0,0.0,0.0,26.89,28.59,26.89,28.59,0.077478,True,True,484,5906.51,-0.1095,False
14,3433,20230303,P006,B006,CH003,TT004,O003,CUR001,20230303-EUR,CP013,TV001,282.1119571119077,299.46,23.5,24.95,0.0,0.0,142.66,151.43,166.16,176.38,0.588994,True,True,662,3858.5,2.6344,True
15,6311,20230530,P025,B002,CH002,TT002,O005,CUR001,20230530-EUR,CP008,TV002,2967.039719614751,3187.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,730,1012.55,-0.6196,False
16,6051,20230420,P023,B007,CH003,TT001,O004,CUR002,20230420-USD,CP012,TV002,4760.063919437015,4760.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,332,6165.08,-0.6403,False
17,7420,20241008,P015,B003,CH003,TT004,O006,CUR001,20241008-EUR,CP020,TV003,6036.819687154504,6629.64,0.0,0.0,14.51,15.93,101.65,111.63,116.16,127.56,0.019241,True,True,827,6732.4,1.728,False
18,2184,20231221,P025,B003,CH002,TT003,O007,CUR001,20231221-EUR,CP001,TV002,4189.673892441536,4601.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,383,8253.9,-0.6253,False
19,5555,20250505,P015,B005,CH004,TT001,O006,CUR001,20250505-EUR,CP015,TV004,9537.538640696795,10818.43,0.0,0.0,26.68,30.26,0.0,0.0,26.68,30.26,0.002797,True,False,711,4055.12,-0.0785,False
20,4385,20230505,P001,B002,CH001,TT001,O007,CUR001,20230505-EUR,CP002,TV002,3889.23616171974,4283.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,635,7191.14,-0.6253,False
21,7396,20240117,P023,B007,CH001,TT002,O007,CUR001,20240117-EUR,CP004,TV002,2562.163609207357,2786.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,748,8547.74,-0.6253,False
22,9666,20241117,P004,B007,CH002,TT003,O004,CUR001,20241115-EUR,CP013,TV002,3404.541799160214,3603.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,606,5573.25,-0.6403,False
23,3558,20241020,P001,B004,CH003,TT003,O002,CUR001,20241018-EUR,CP010,TV002,1972.456600645855,2139.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,828,2763.09,-0.6196,False
24,8849,20230423,P020,B002,CH001,TT004,O001,CUR002,20230423-USD,CP001,TV004,12796.84636233104,12796.85,0.0,0.0,0.0,0.0,170.94,170.94,170.94,170.94,0.013358,True,True,465,8635.25,2.5263,True
25,3047,20250228,P011,B005,CH001,TT005,O007,CUR001,20250228-EUR,CP001,TV002,2611.927729314473,2719.28,0.0,0.0,48.66,50.66,0.0,0.0,48.66,50.66,0.01863,True,False,479,7386.01,0.3087,False
26,3747,20240814,P002,B005,CH004,TT003,O007,CUR001,20240814-EUR,CP001,TV003,7072.808735340604,7793.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,507,9394.88,-0.6253,False
27,1189,20230107,P018,B004,CH001,TT004,O004,CUR001,20230106-EUR,CP014,TV003,5369.450372124378,5637.92,0.0,0.0,0.0,0.0,65.11,68.37,65.11,68.37,0.012127,True,True,607,6298.02,0.6291,False
28,3734,20240106,P024,B001,CH001,TT005,O004,CUR001,20240105-EUR,CP014,TV001,137.0270870529579,149.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,639,6773.86,-0.6403,False
29,4005,20250101,P023,B004,CH004,TT001,O004,CUR001,20241231-EUR,CP013,TV001,844.0301918470752,876.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,589,4948.54,-0.6403,False
30,5658,20241109,P002,B003,CH002,TT004,O002,CUR001,20241108-EUR,CP006,TV003,6924.048107341377,7458.58,0.0,0.0,0.0,0.0,83.44,89.88,83.44,89.88,0.012051,True,True,511,2730.56,1.0476,False
31,2899,20241019,P024,B004,CH003,TT004,O004,CUR001,20241018-EUR,CP015,TV001,645.0363943555132,699.67,0.0,0.0,0.0,0.0,163.57,177.42,163.57,177.42,0.253577,True,True,713,3398.28,2.6537,True
32,8734,20230829,P011,B003,CH004,TT002,O006,CUR001,20230829-EUR,CP020,TV003,9176.159123763062,9913.0,0.0,0.0,42.32,45.72,0.0,0.0,42.32,45.72,0.004612,True,False,828,6072.51,0.2086,False
33,2267,20240719,P024,B001,CH003,TT001,O004,CUR001,20240719-EUR,CP018,TV001,915.9630527691642,997.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,749,6377.72,-0.6403,False
34,2528,20240213,P010,B003,CH001,TT001,O003,CUR002,20240213-USD,CP013,TV002,4885.10863283505,4885.11,10.31,10.31,0.0,0.0,0.0,0.0,10.31,10.31,0.00211,True,False,587,5057.74,-0.4489,False
35,4556,20241122,P022,B003,CH004,TT006,O007,CUR001,20241122-EUR,CP001,TV002,1027.55101696638,1069.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,545,7426.07,-0.6253,False
36,4890,20230317,P005,B003,CH002,TT005,O004,CUR001,20230317-EUR,CP012,TV002,2603.190122463628,2765.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,573,6668.18,-0.6403,False
37,9838,20230601,P017,B003,CH003,TT004,O004,CUR001,20230601-EUR,CP011,TV002,1872.873849578536,2003.41,0.0,0.0,0.0,0.0,97.86,104.68,97.86,104.68,0.052251,True,True,437,3594.46,1.3032,False
38,6393,20230909,P011,B006,CH001,TT003,O002,CUR001,20230908-EUR,CP006,TV003,6909.05984125442,7395.46,0.0,0.0,75.77,81.1,0.0,0.0,75.77,81.1,0.010966,True,False,387,1489.97,0.8847,False
39,9792,20230822,P011,B002,CH004,TT003,O007,CUR002,20230822-USD,CP005,TV002,4550.103981996912,4550.1,0.0,0.0,96.66,96.66,0.0,0.0,96.66,96.66,0.021243,True,False,833,9249.61,1.1568,False
40,9433,20241127,P020,B001,CH002,TT006,O004,CUR001,20241127-EUR,CP016,TV003,5455.139748234597,5744.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,682,6915.34,-0.6403,False
41,8513,20231224,P012,B005,CH004,TT005,O006,CUR001,20231222-EUR,CP011,TV001,490.8950551964337,541.11,0.0,0.0,58.58,64.57,0.0,0.0,58.58,64.57,0.119329,True,False,575,4473.92,0.5585,False
42,3612,20230123,P002,B004,CH004,TT002,O007,CUR001,20230123-EUR,CP002,TV002,1068.25056093046,1161.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,588,8516.75,-0.6253,False
43,8041,20240530,P001,B003,CH003,TT005,O004,CUR001,20240530-EUR,CP015,TV003,5519.536299853136,5969.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,689,5185.09,-0.6403,False
44,7235,20250501,P018,B008,CH003,TT003,O001,CUR001,20250430-EUR,CP002,TV002,4366.090506490205,4965.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,605,8839.3,-0.6253,False
45,6486,20240731,P005,B004,CH001,TT003,O004,CUR001,20240731-EUR,CP019,TV002,3451.563164513013,3737.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,835,5847.99,-0.6403,False
46,8099,20240206,P010,B006,CH001,TT002,O001,CUR001,20240206-EUR,CP005,TV003,7466.107323462476,8020.84,19.86,21.34,0.0,0.0,0.0,0.0,19.86,21.34,0.002661,True,False,824,7713.93,-0.2319,False
47,1775,20240217,P002,B002,CH003,TT002,O004,CUR001,20240216-EUR,CP011,TV002,3472.508336542469,3739.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,423,3926.32,-0.6403,False
48,9226,20250409,P014,B001,CH002,TT003,O002,CUR001,20250409-EUR,CP006,TV002,2810.863397423469,3104.6,0.0,0.0,15.68,17.32,0.0,0.0,15.68,17.32,0.005579,True,False,554,1261.38,-0.2983,False
49,4152,20231019,P016,B004,CH004,TT004,O004,CUR001,20231019-EUR,CP015,TV003,8199.032472556859,8656.54,0.0,0.0,0.0,0.0,182.81,193.01,182.81,193.01,0.022296,True,True,691,5875.14,2.9432,True
50,2585,20230128,P006,B003,CH001,TT004,O003,CUR002,20230128-USD,CP012,TV003,7838.774460483614,7838.77,2.62,2.62,0.0,0.0,145.39,145.39,148.01,148.01,0.018882,True,True,445,6093.29,2.1077,True
51,4943,20231130,P003,B005,CH004,TT002,O004,CUR001,20231130-EUR,CP011,TV003,4679.070333171536,5114.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,424,5418.41,-0.6403,False
52,8555,20241017,P009,B003,CH003,TT001,O001,CUR001,20241017-EUR,CP002,TV002,4115.585229400298,4471.99,8.14,8.84,0.0,0.0,0.0,0.0,8.14,8.84,0.001977,True,False,642,9171.04,-0.4623,False
53,4073,20241123,P024,B008,CH004,TT004,O004,CUR001,20241122-EUR,CP012,TV001,630.9850200251946,656.98,0.0,0.0,0.0,0.0,175.22,182.44,175.22,182.44,0.277695,True,True,330,6513.28,2.7469,True
54,2021,20230817,P024,B005,CH002,TT002,O005,CUR001,20230817-EUR,CP007,TV002,1244.342224330351,1356.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,593,1715.94,-0.6196,False
55,4843,20240626,P008,B003,CH003,TT005,O003,CUR001,20240626-EUR,CP012,TV003,9254.792205687714,9892.45,45.25,48.37,0.0,0.0,0.0,0.0,45.25,48.37,0.00489,True,False,389,6062.96,0.2578,False
56,8989,20250221,P021,B008,CH002,TT005,O004,CUR001,20250221-EUR,CP011,TV002,3850.964441775596,4030.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,561,3119.93,-0.6403,False
57,7873,20250417,P024,B004,CH001,TT005,O004,CUR001,20250417-EUR,CP017,TV001,441.3637934838166,501.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,747,4936.7,-0.6403,False
58,6675,20250210,P021,B007,CH001,TT002,O004,CUR001,20250210-EUR,CP018,TV001,32.46730405255371,33.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,746,6458.44,-0.6403,False
59,1161,20230219,P016,B006,CH002,TT002,O004,CUR001,20230217-EUR,CP012,TV002,2626.019544978159,2790.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,467,6954.48,-0.6403,False
60,5297,20240108,P018,B002,CH004,TT004,O001,CUR001,20240108-EUR,CP001,TV004,14064.72431074815,15395.25,0.0,0.0,0.0,0.0,166.84,182.62,166.84,182.62,0.011862,True,True,436,8635.11,2.7417,True
61,1995,20240315,P021,B001,CH003,TT004,O004,CUR001,20240315-EUR,CP015,TV002,2895.366237984525,3153.63,0.0,0.0,0.0,0.0,62.05,67.58,62.05,67.58,0.021429,True,True,724,5585.22,0.6144,False
62,8629,20250212,P012,B004,CH001,TT004,O002,CUR001,20250212-EUR,CP006,TV004,10415.14268249008,10800.5,0.0,0.0,90.65,94.0,164.68,170.77,255.33,264.77,0.024515,True,True,431,2884.65,4.2915,True
63,2016,20230704,P021,B008,CH001,TT006,O004,CUR001,20230704-EUR,CP019,TV002,2323.24036495889,2531.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,832,3207.61,-0.6403,False
64,8869,20250226,P022,B004,CH004,TT002,O005,CUR001,20250226-EUR,CP006,TV002,4124.180621246264,4325.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,363,2019.63,-0.6196,False
65,7439,20230502,P024,B001,CH001,TT001,O005,CUR002,20230502-USD,CP006,TV001,173.9986122699694,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,546,1794.71,-0.6196,False
66,8892,20230915,P012,B006,CH002,TT005,O006,CUR001,20230915-EUR,CP017,TV003,5306.685307708655,5655.87,0.0,0.0,76.68,81.73,0.0,0.0,76.68,81.73,0.01445,True,False,757,4758.75,0.8771,False
67,7863,20230909,P014,B008,CH004,TT005,O002,CUR001,20230908-EUR,CP007,TV003,4696.096091947328,5026.7,0.0,0.0,56.99,61.0,0.0,0.0,56.99,61.0,0.012135,True,False,654,1302.49,0.5119,False
68,8916,20231123,P022,B006,CH001,TT006,O004,CUR001,20231123-EUR,CP011,TV003,4896.108358018878,5336.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,510,5617.08,-0.6403,False
69,9529,20240910,P002,B003,CH004,TT006,O004,CUR001,20240910-EUR,CP015,TV002,2348.533948611826,2590.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,704,4574.97,-0.6403,False
70,1878,20250210,P009,B001,CH001,TT005,O001,CUR001,20250210-EUR,CP001,TV002,4083.688443735576,4214.37,40.31,41.6,0.0,0.0,0.0,0.0,40.31,41.6,0.009871,True,False,511,7374.19,0.1417,False
71,5887,20231209,P018,B003,CH004,TT002,O004,CUR001,20231208-EUR,CP011,TV004,11309.65665474746,12188.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,444,5453.38,-0.6403,False
72,5859,20230124,P006,B006,CH001,TT005,O002,CUR001,20230124-EUR,CP009,TV003,8615.672956341305,9354.9,44.64,48.47,0.0,0.0,0.0,0.0,44.64,48.47,0.005181,True,False,770,1835.64,0.2795,False
73,7331,20240329,P017,B008,CH001,TT005,O004,CUR001,20240328-EUR,CP017,TV004,13089.71897175939,14151.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,783,3936.14,-0.6403,False
74,9571,20240826,P010,B006,CH002,TT001,O003,CUR001,20240826-EUR,CP013,TV002,3864.744055413235,4314.21,48.22,53.83,0.0,0.0,0.0,0.0,48.22,53.83,0.012477,True,False,643,5948.17,0.3591,False
75,9684,20230502,P013,B006,CH003,TT006,O007,CUR001,20230502-EUR,CP003,TV004,11778.27789178643,12914.88,0.0,0.0,97.73,107.16,0.0,0.0,97.73,107.16,0.008297,True,False,736,8247.87,1.3504,False
76,8208,20240424,P021,B002,CH004,TT006,O004,CUR001,20240424-EUR,CP011,TV002,3261.470132321786,3485.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,444,3618.49,-0.6403,False
77,6276,20240407,P018,B002,CH003,TT004,O002,CUR001,20240405-EUR,CP006,TV004,12684.05405192339,13750.78,0.0,0.0,0.0,0.0,59.06,64.03,59.06,64.03,0.004656,True,True,510,1871.71,0.5681,False
78,3062,20230321,P023,B003,CH003,TT006,O004,CUR001,20230321-EUR,CP013,TV002,4620.69743069399,4979.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,661,3752.08,-0.6403,False
79,1064,20230327,P024,B006,CH004,TT001,O007,CUR001,20230327-EUR,CP001,TV002,1169.032444550745,1259.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,543,7236.44,-0.6253,False
80,9006,20241223,P015,B003,CH002,TT001,O006,CUR001,20241223-EUR,CP012,TV003,6204.46601038554,6448.3,0.0,0.0,98.42,102.29,0.0,0.0,98.42,102.29,0.015863,True,False,488,6425.02,1.2589,False
81,3568,20230120,P016,B003,CH001,TT005,O001,CUR001,20230120-EUR,CP001,TV003,8764.260516851964,9488.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,329,7358.47,-0.6253,False
82,6463,20240114,P003,B008,CH002,TT001,O004,CUR001,20240112-EUR,CP014,TV003,6258.871240455062,6848.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,635,6110.31,-0.6403,False
83,3027,20240518,P014,B008,CH004,TT004,O007,CUR002,20240518-USD,CP005,TV002,4988.477636862484,4988.48,0.0,0.0,85.74,85.74,73.01,73.01,158.75,158.75,0.031823,True,True,818,8831.07,2.3016,True
84,3695,20230909,P021,B002,CH003,TT005,O007,CUR001,20230908-EUR,CP001,TV002,1053.673504494913,1127.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,560,7952.06,-0.6253,False
85,6258,20250315,P019,B007,CH002,TT002,O001,CUR002,20250315-USD,CP002,TV004,11077.94817137239,11077.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,660,8832.24,-0.6253,False
86,6618,20230912,P011,B002,CH001,TT002,O006,CUR001,20230912-EUR,CP012,TV003,7359.72573875062,7884.47,0.0,0.0,95.35,102.15,0.0,0.0,95.35,102.15,0.012956,True,False,575,6098.89,1.2563,False
87,7736,20240825,P013,B003,CH002,TT006,O002,CUR001,20240823-EUR,CP010,TV004,11154.91219353327,12405.38,0.0,0.0,41.33,45.96,0.0,0.0,41.33,45.96,0.003705,True,False,809,2952.17,0.2329,False
88,1391,20231026,P002,B002,CH002,TT004,O004,CUR002,20231026-USD,CP011,TV003,5110.551794044909,5110.55,0.0,0.0,0.0,0.0,124.59,124.59,124.59,124.59,0.024379,True,True,472,3676.52,1.6729,False
89,6892,20230106,P010,B005,CH002,TT001,O001,CUR001,20230106-EUR,CP001,TV001,174.2047693004326,182.92,6.25,6.56,0.0,0.0,0.0,0.0,6.25,6.56,0.035863,True,False,454,9949.31,-0.5044,False
90,4561,20250325,P017,B006,CH003,TT003,O004,CUR001,20250325-EUR,CP011,TV004,14403.51843942041,15591.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,570,5640.03,-0.6403,False
91,7184,20230605,P017,B006,CH001,TT002,O002,CUR001,20230605-EUR,CP006,TV003,8843.36413322636,9453.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,529,2879.46,-0.6196,False
92,4099,20231110,P018,B005,CH004,TT001,O004,CUR002,20231110-USD,CP011,TV003,8884.532581529706,8884.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,364,3740.15,-0.6403,False
93,7278,20250329,P019,B001,CH004,TT002,O002,CUR002,20250329-USD,CP010,TV004,13549.26196219433,13549.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,839,2850.57,-0.6196,False
94,9392,20240312,P010,B007,CH003,TT002,O001,CUR001,20240312-EUR,CP001,TV003,6496.194638238955,7091.25,44.32,48.38,0.0,0.0,0.0,0.0,44.32,48.38,0.006822,True,False,545,9661.93,0.2667,False
95,4104,20230913,P012,B002,CH004,TT002,O006,CUR002,20230913-USD,CP017,TV003,5957.913422591237,5957.91,0.0,0.0,65.65,65.65,0.0,0.0,65.65,65.65,0.011019,True,False,755,5414.57,0.5786,False
96,8215,20240723,P014,B007,CH004,TT006,O006,CUR001,20240723-EUR,CP011,TV002,1343.182043733301,1458.7,0.0,0.0,91.45,99.31,0.0,0.0,91.45,99.31,0.068081,True,False,326,5306.45,1.2035,False
97,3454,20240119,P010,B001,CH004,TT004,O003,CUR001,20240119-EUR,CP013,TV004,9411.9188431971,10246.76,23.11,25.16,0.0,0.0,1.07,1.16,24.18,26.32,0.002569,True,True,629,5163.5,-0.1516,False
98,9996,20240302,P013,B006,CH004,TT002,O007,CUR002,20240302-USD,CP001,TV001,985.9744394499596,985.97,0.0,0.0,97.39,97.39,0.0,0.0,97.39,97.39,0.098776,True,False,424,7744.14,1.1703,False
99,3731,20241007,P010,B003,CH001,TT001,O002,CUR001,20241007-EUR,CP009,TV002,1673.862322606049,1838.24,5.38,5.91,0.0,0.0,0.0,0.0,5.38,5.91,0.003215,True,False,797,2442.28,-0.5099,False
100,9154,20230912,P006,B002,CH004,TT001,O002,CUR001,20230912-EUR,CP006,TV003,8017.889437206215,8589.56,21.5,23.03,0.0,0.0,0.0,0.0,21.5,23.03,0.002681,True,False,407,2025.61,-0.1924,False
101,6056,20240623,P013,B004,CH004,TT006,O002,CUR001,20240621-EUR,CP006,TV003,6095.400293953795,6514.76,0.0,0.0,29.84,31.89,0.0,0.0,29.84,31.89,0.004895,True,False,447,2550.53,-0.0281,False
102,9110,20230401,P012,B005,CH004,TT004,O006,CUR001,20230331-EUR,CP011,TV002,2223.654275473728,2418.22,0.0,0.0,78.06,84.89,158.43,172.29,236.49,257.18,0.106351,True,True,353,4587.56,4.1346,True
103,4840,20240209,P006,B008,CH002,TT004,O003,CUR001,20240209-EUR,CP014,TV002,2806.01725984452,3022.64,11.45,12.33,0.0,0.0,115.8,124.74,127.25,137.07,0.045348,True,True,632,6515.67,1.9046,False
104,2028,20250128,P004,B006,CH004,TT003,O007,CUR001,20250128-EUR,CP001,TV003,7751.273231839055,8077.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,568,8404.27,-0.6253,False
105,8385,20231202,P022,B001,CH003,TT005,O004,CUR001,20231201-EUR,CP011,TV002,2915.203765748698,3170.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,425,3015.96,-0.6403,False
106,1502,20240516,P016,B003,CH002,TT002,O001,CUR001,20240516-EUR,CP005,TV003,5992.922160327472,6511.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,846,7179.39,-0.6253,False
107,7910,20240812,P008,B006,CH001,TT006,O003,CUR001,20240812-EUR,CP015,TV003,8571.7451843633,9364.63,11.28,12.32,0.0,0.0,0.0,0.0,11.28,12.32,0.001316,True,False,713,5022.64,-0.4115,False
108,7938,20240828,P011,B005,CH003,TT004,O007,CUR001,20240828-EUR,CP001,TV003,5962.569575102838,6628.59,0.0,0.0,84.77,94.24,50.65,56.31,135.42,150.55,0.022712,True,True,480,8514.54,2.1504,True
109,5488,20231105,P006,B006,CH004,TT003,O002,CUR001,20231103-EUR,CP006,TV002,3018.779873085565,3230.7,40.07,42.88,0.0,0.0,0.0,0.0,40.07,42.88,0.013273,True,False,576,2071.52,0.1758,False
110,1206,20240212,P012,B006,CH002,TT005,O007,CUR001,20240212-EUR,CP002,TV002,2049.427256692962,2207.85,0.0,0.0,65.53,70.6,0.0,0.0,65.53,70.6,0.031977,True,False,660,8679.8,0.6763,False
111,6134,20241217,P006,B002,CH002,TT004,O002,CUR001,20241217-EUR,CP008,TV003,7284.370961104136,7646.4,25.16,26.41,0.0,0.0,174.11,182.76,199.27,209.17,0.027355,True,True,722,1124.06,3.2602,True
112,6977,20250208,P015,B002,CH003,TT004,O002,CUR001,20250207-EUR,CP006,TV003,7407.963478770808,7687.24,0.0,0.0,19.68,20.42,93.13,96.64,112.81,117.06,0.015228,True,True,432,2928.71,1.5517,False
113,8721,20240818,P002,B008,CH004,TT002,O004,CUR001,20240816-EUR,CP012,TV001,727.248188313891,799.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,450,6983.29,-0.6403,False
114,8035,20230615,P025,B003,CH004,TT005,O004,CUR001,20230615-EUR,CP019,TV002,2953.172903626719,3195.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,833,4794.28,-0.6403,False
115,2484,20240302,P011,B002,CH004,TT005,O007,CUR002,20240302-USD,CP002,TV002,1990.238245965489,1990.24,0.0,0.0,92.5,92.5,0.0,0.0,92.5,92.5,0.046477,True,False,596,8697.73,1.0801,False
116,8858,20241201,P005,B001,CH002,TT006,O007,CUR001,20241129-EUR,CP005,TV003,7655.499366289621,8085.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,815,7309.18,-0.6253,False
117,1863,20240221,P023,B004,CH004,TT003,O005,CUR001,20240221-EUR,CP008,TV002,1299.136099736297,1404.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,692,2667.94,-0.6196,False
