scope_segment,is_challenge_scope,platform,published_day_of_week,published_day_sort,post_hour,posts,avg_engagement,avg_views,avg_engagement_rate,avg_ctr
Challenge Scope,True,Instagram,Tuesday,2,12,1,305099.0,3225787.0,0.09458146553733937,
Challenge Scope,True,Instagram,Tuesday,2,13,1,113052.0,563018.0,0.2007965338886373,
Challenge Scope,True,Instagram,Tuesday,2,14,1,129293.0,1257014.0,0.1028575954422628,
Challenge Scope,True,Instagram,Tuesday,2,15,1,572837.0,2807894.0,0.2040095274527567,
Challenge Scope,True,Instagram,Tuesday,2,16,1,229710.0,2056145.0,0.1117191239251243,
Challenge Scope,True,Instagram,Tuesday,2,17,1,312223.0,2740875.0,0.1139139024809609,
Challenge Scope,True,Instagram,Wednesday,3,13,2,32131.0,180988.5,0.13513139676757696,
Challenge Scope,True,Instagram,Wednesday,3,15,1,230996.0,2300481.0,0.1004124529166095,
Challenge Scope,True,Instagram,Wednesday,3,16,1,36720.0,280904.0,0.1307233517159937,
Challenge Scope,True,Instagram,Wednesday,3,19,1,50596.0,325937.0,0.1552332737110309,
Challenge Scope,True,LinkedIn,Friday,5,8,1,49910.0,272628.0,0.1830707475287029,
Challenge Scope,True,LinkedIn,Friday,5,12,1,30691.0,477696.0,0.06424993990240509,
Challenge Scope,True,LinkedIn,Friday,5,15,1,104460.0,1581932.0,0.06603342429537805,0.0291
Challenge Scope,True,LinkedIn,Friday,5,17,2,46339.0,249792.0,0.18492864353681135,0.022400000000000003
Challenge Scope,True,LinkedIn,Monday,1,12,1,38603.0,191627.0,0.2014508421625779,
Challenge Scope,True,LinkedIn,Monday,1,16,1,42647.0,668758.0,0.06377110938259153,
Challenge Scope,True,LinkedIn,Monday,1,18,1,31169.0,422063.0,0.07384938178516098,
Challenge Scope,True,LinkedIn,Saturday,6,10,1,25542.0,266103.0,0.0959879573332683,
Challenge Scope,True,LinkedIn,Saturday,6,13,1,37210.0,576857.0,0.06450515212006037,
Challenge Scope,True,LinkedIn,Saturday,6,15,1,103217.0,597704.0,0.1726892761647418,
Challenge Scope,True,LinkedIn,Saturday,6,17,2,62237.0,269360.5,0.23124182901771625,0.0195
Challenge Scope,True,LinkedIn,Saturday,6,18,1,39634.0,326653.0,0.1213359785029059,
Challenge Scope,True,LinkedIn,Sunday,7,9,1,47079.0,410304.0,0.114742536865158,
Challenge Scope,True,LinkedIn,Sunday,7,11,1,31839.0,513254.0,0.06203398643209845,
Challenge Scope,True,LinkedIn,Sunday,7,15,2,62645.5,321998.5,0.1901153139882225,0.02325
Challenge Scope,True,LinkedIn,Sunday,7,17,3,56399.666666666664,551172.6666666666,0.11959912100969002,0.0169
Challenge Scope,True,LinkedIn,Thursday,4,10,1,26223.0,160722.0,0.1631612300034534,0.0145
Challenge Scope,True,LinkedIn,Thursday,4,15,1,25545.0,316242.0,0.08077906883905685,0.0176
Challenge Scope,True,LinkedIn,Thursday,4,16,1,56591.0,233136.0,0.2427412532706293,0.0224
Challenge Scope,True,LinkedIn,Tuesday,2,9,1,239739.0,2514192.0,0.09535442503657321,0.0132
Challenge Scope,True,LinkedIn,Tuesday,2,10,1,24706.0,116399.0,0.2122557328326302,0.0109
Challenge Scope,True,LinkedIn,Tuesday,2,11,3,29596.333333333332,164514.33333333334,0.17533024960242197,0.0132
Challenge Scope,True,LinkedIn,Tuesday,2,13,1,108707.0,563018.0,0.1930803705639826,0.0255
Challenge Scope,True,LinkedIn,Tuesday,2,16,1,22245.0,120687.0,0.1843220196930216,
Challenge Scope,True,LinkedIn,Tuesday,2,17,1,371727.0,2740875.0,0.1356235921976633,0.0274
Challenge Scope,True,LinkedIn,Wednesday,3,11,1,64935.0,556383.0,0.1167095110659747,0.0138
Challenge Scope,True,LinkedIn,Wednesday,3,12,1,41063.0,186023.0,0.2207439098225888,0.0267
Challenge Scope,True,LinkedIn,Wednesday,3,13,1,229924.0,1384819.0,0.1660323444595486,0.0257
Challenge Scope,True,LinkedIn,Wednesday,3,17,1,30424.0,211703.0,0.1437128191589548,0.0183
Challenge Scope,True,TikTok,Friday,5,11,1,52456.0,308815.0,0.1698639614240798,0.023
Challenge Scope,True,TikTok,Friday,5,12,1,104411.0,845508.0,0.1234897420669719,0.0108
Challenge Scope,True,TikTok,Friday,5,15,3,79451.0,582780.3333333334,0.17196597958709067,0.0166
Challenge Scope,True,TikTok,Friday,5,17,3,69427.66666666667,603724.0,0.16605960382778587,0.016333333333333335
Challenge Scope,True,TikTok,Monday,1,9,1,71810.0,500100.0,0.1435916061044943,0.0106
Challenge Scope,True,TikTok,Monday,1,10,1,51855.0,253690.0,0.204405481736421,0.0196
Challenge Scope,True,TikTok,Monday,1,11,2,36278.0,212499.0,0.164247368946143,0.0196
Challenge Scope,True,TikTok,Monday,1,15,1,26152.0,158955.0,0.1645306378770723,0.0213
Challenge Scope,True,TikTok,Monday,1,16,1,41752.0,339642.0,0.1229313818858895,0.0195
Challenge Scope,True,TikTok,Saturday,6,10,1,173501.0,2710231.0,0.06401732397826936,0.0247
Challenge Scope,True,TikTok,Saturday,6,11,1,21358.0,136502.0,0.1564678085459518,0.024
Challenge Scope,True,TikTok,Saturday,6,12,1,39386.0,184804.0,0.2131253680296316,0.0223
Challenge Scope,True,TikTok,Saturday,6,16,2,70719.5,451046.5,0.16030958729267064,0.0137
Challenge Scope,True,TikTok,Saturday,6,17,2,232590.0,1001596.0,0.2329927453360107,0.01755
Challenge Scope,True,TikTok,Saturday,6,19,1,440650.0,2063388.0,0.2135568998956063,0.0155
Challenge Scope,True,TikTok,Sunday,7,10,3,245636.66666666666,2001831.0,0.13711092048583692,0.016333333333333335
Challenge Scope,True,TikTok,Sunday,7,11,5,360179.6,1988972.6,0.1629113509343374,0.01426
Challenge Scope,True,TikTok,Sunday,7,15,3,39077.0,378470.6666666667,0.1435963263015111,0.017133333333333334
Challenge Scope,True,TikTok,Sunday,7,16,1,29180.0,297048.0,0.09823367713436708,0.0246
Challenge Scope,True,TikTok,Sunday,7,17,1,485593.0,2471851.0,0.1964493840302706,0.0245
Challenge Scope,True,TikTok,Thursday,4,9,1,26811.0,171195.0,0.1566117719013636,0.0186
Challenge Scope,True,TikTok,Thursday,4,10,2,35032.5,175123.5,0.1957579645334651,0.01345
Challenge Scope,True,TikTok,Thursday,4,11,1,263703.0,1880236.0,0.1402500273794074,0.0164
Challenge Scope,True,TikTok,Thursday,4,15,3,51586.333333333336,424206.0,0.14078540614869747,0.019133333333333336
Challenge Scope,True,TikTok,Thursday,4,16,1,271362.0,2773282.0,0.09784903847082468,0.0216
Challenge Scope,True,TikTok,Thursday,4,17,5,67806.2,641824.8,0.1307957240828364,0.01932
Challenge Scope,True,TikTok,Thursday,4,18,1,49338.0,664193.0,0.07428339613866605,0.0205
Challenge Scope,True,TikTok,Tuesday,2,10,2,290601.0,1484087.5,0.1937939851138053,0.01055
Challenge Scope,True,TikTok,Tuesday,2,12,2,128577.0,707117.0,0.1590543041268344,0.02185
Challenge Scope,True,TikTok,Tuesday,2,13,1,78084.0,590707.0,0.1321878698564213,0.0197
Challenge Scope,True,TikTok,Tuesday,2,15,2,113594.0,682282.0,0.16595237350995715,0.0206
Challenge Scope,True,TikTok,Tuesday,2,16,3,145488.66666666666,1122974.0,0.14888387916338727,0.016
Challenge Scope,True,TikTok,Wednesday,3,8,1,67176.0,676921.0,0.09923824893778649,0.0161
Challenge Scope,True,TikTok,Wednesday,3,10,2,33500.5,216623.0,0.1769010877667117,0.0154
Challenge Scope,True,TikTok,Wednesday,3,11,2,122087.0,1144784.5,0.1461372860259674,0.016300000000000002
Challenge Scope,True,TikTok,Wednesday,3,12,1,40110.0,186023.0,0.2156210128027489,0.0142
Challenge Scope,True,TikTok,Wednesday,3,13,1,50761.0,244338.0,0.2077522870704248,0.013
Challenge Scope,True,TikTok,Wednesday,3,15,1,36032.0,278429.0,0.1294125258624108,0.0143
Challenge Scope,True,X (Twitter),Friday,5,10,3,33464.666666666664,202779.66666666666,0.18062893252670784,
Challenge Scope,True,X (Twitter),Friday,5,12,1,61023.0,276436.0,0.2207505188927807,
Challenge Scope,True,X (Twitter),Friday,5,15,2,79544.5,439075.0,0.165144682819336,
Challenge Scope,True,X (Twitter),Friday,5,16,1,36236.0,157659.0,0.229840658939437,
Challenge Scope,True,X (Twitter),Friday,5,17,1,32101.0,208817.0,0.1537322790160116,
Challenge Scope,True,X (Twitter),Monday,1,9,1,183002.0,1449794.0,0.1262263006477842,
Challenge Scope,True,X (Twitter),Monday,1,10,1,30880.0,193504.0,0.1595877086385457,
Challenge Scope,True,X (Twitter),Monday,1,11,2,195750.5,1063386.5,0.1574000934476032,
Challenge Scope,True,X (Twitter),Monday,1,12,3,50962.666666666664,287795.3333333333,0.16724501539196232,
Challenge Scope,True,X (Twitter),Monday,1,16,1,290030.0,2647646.0,0.1095428169475814,
Challenge Scope,True,X (Twitter),Monday,1,17,2,180735.0,1267179.5,0.1389345630913666,
Challenge Scope,True,X (Twitter),Monday,1,18,1,88150.0,352795.0,0.2498640618922921,
Challenge Scope,True,X (Twitter),Saturday,6,8,1,253515.0,2127811.0,0.1191440258886215,
Challenge Scope,True,X (Twitter),Saturday,6,9,1,236485.0,3125523.0,0.07566270370758409,
Challenge Scope,True,X (Twitter),Saturday,6,11,2,114634.0,1062259.5,0.11786962154073773,
Challenge Scope,True,X (Twitter),Saturday,6,12,3,164289.33333333334,831510.6666666666,0.16029164530122667,
Challenge Scope,True,X (Twitter),Saturday,6,15,1,48067.0,347533.0,0.1383106978855971,
Challenge Scope,True,X (Twitter),Saturday,6,16,2,49856.0,587480.0,0.08439501921981271,
Challenge Scope,True,X (Twitter),Saturday,6,17,3,259828.33333333334,2511845.6666666665,0.10501913300969028,
Challenge Scope,True,X (Twitter),Saturday,6,18,1,74474.0,393430.0,0.1892959742992899,
Challenge Scope,True,X (Twitter),Sunday,7,8,1,160826.0,1544777.0,0.1041095847185957,
Challenge Scope,True,X (Twitter),Sunday,7,10,1,51512.0,206328.0,0.2496650815510592,
Challenge Scope,True,X (Twitter),Sunday,7,11,2,98082.0,603091.5,0.1661000347393764,
Challenge Scope,True,X (Twitter),Sunday,7,12,1,37144.0,226472.0,0.1640157243864688,
Challenge Scope,True,X (Twitter),Sunday,7,15,3,68423.33333333333,349782.3333333333,0.18726760561420275,
Challenge Scope,True,X (Twitter),Sunday,7,16,3,35083.666666666664,211669.33333333334,0.17207996703812126,
Challenge Scope,True,X (Twitter),Thursday,4,12,1,110743.0,1779426.0,0.06223551538289623,
Challenge Scope,True,X (Twitter),Thursday,4,13,1,110542.0,1415982.0,0.07806739594285046,
Challenge Scope,True,X (Twitter),Thursday,4,15,2,62366.0,357785.5,0.17379560342378225,
Challenge Scope,True,X (Twitter),Thursday,4,16,2,154145.0,1217420.0,0.16191136955624663,
Challenge Scope,True,X (Twitter),Tuesday,2,9,1,247139.0,2514192.0,0.09829760676735619,
Challenge Scope,True,X (Twitter),Tuesday,2,12,3,104979.33333333333,852007.3333333334,0.14480146036687921,
Challenge Scope,True,X (Twitter),Tuesday,2,15,1,345197.0,1854720.0,0.1861185363956461,
Challenge Scope,True,X (Twitter),Tuesday,2,16,2,149725.0,1490469.0,0.1632652152178083,
Challenge Scope,True,X (Twitter),Tuesday,2,17,3,68216.33333333333,972667.3333333334,0.11376940045539778,
Challenge Scope,True,X (Twitter),Tuesday,2,19,1,124543.0,1809219.0,0.06883808016199447,
Challenge Scope,True,X (Twitter),Wednesday,3,10,2,150118.0,1095284.0,0.1841023536351823,
Challenge Scope,True,X (Twitter),Wednesday,3,11,1,42171.0,268345.0,0.1571540785558964,
Challenge Scope,True,X (Twitter),Wednesday,3,12,3,44780.333333333336,370420.0,0.14932791060037423,
Challenge Scope,True,X (Twitter),Wednesday,3,13,1,234098.0,1384819.0,0.1690463534258456,
Challenge Scope,True,X (Twitter),Wednesday,3,15,3,165141.33333333334,1625222.3333333333,0.11825481224346429,
Challenge Scope,True,X (Twitter),Wednesday,3,16,2,46831.0,329912.5,0.1669393429188389,
Challenge Scope,True,X (Twitter),Wednesday,3,17,1,72383.0,519699.0,0.1392787288376717,
Challenge Scope,True,X (Twitter),Wednesday,3,19,1,151.0,1000.0,0.1512857596345455,
Full Workbook Only,False,Facebook,Friday,5,9,1,360144.0,1698653.0,0.2120176101871202,0.0119
Full Workbook Only,False,Facebook,Friday,5,10,3,92428.0,694851.0,0.11047399492831067,0.0176
Full Workbook Only,False,Facebook,Friday,5,11,6,66739.0,490326.1666666667,0.14051943117739338,0.0202
Full Workbook Only,False,Facebook,Friday,5,12,3,104634.0,716220.3333333334,0.17347256812711564,0.017266666666666666
Full Workbook Only,False,Facebook,Friday,5,15,9,116229.88888888889,1065737.0,0.12690632724374828,0.019933333333333334
Full Workbook Only,False,Facebook,Friday,5,16,7,52706.0,463029.71428571426,0.13662988942428642,0.020114285714285716
Full Workbook Only,False,Facebook,Friday,5,17,8,121008.125,857986.125,0.16305155108243288,0.0163125
Full Workbook Only,False,Facebook,Friday,5,18,1,217457.0,1173431.0,0.1853174108177175,0.0244
Full Workbook Only,False,Facebook,Monday,1,8,1,7989.0,38931.0,0.2052327951430479,0.0229
Full Workbook Only,False,Facebook,Monday,1,9,1,78769.0,539224.0,0.1460787898221947,0.021
Full Workbook Only,False,Facebook,Monday,1,10,7,81377.71428571429,513757.28571428574,0.16922819969996075,0.02117142857142857
Full Workbook Only,False,Facebook,Monday,1,11,3,135468.66666666666,1115058.0,0.14499727765762518,0.025966666666666666
Full Workbook Only,False,Facebook,Monday,1,12,6,103707.16666666667,890227.1666666666,0.09712668834877654,0.020183333333333334
Full Workbook Only,False,Facebook,Monday,1,13,1,78797.0,525218.0,0.1500286077316065,0.0108
Full Workbook Only,False,Facebook,Monday,1,14,1,27408.0,174556.0,0.1570165495032204,0.0247
Full Workbook Only,False,Facebook,Monday,1,15,5,146766.2,782933.8,0.19661619908346767,0.0201
Full Workbook Only,False,Facebook,Monday,1,16,6,174246.66666666666,1557032.1666666667,0.14654290456763566,0.022250000000000002
Full Workbook Only,False,Facebook,Monday,1,17,6,94924.83333333333,587080.3333333334,0.15566962925748354,0.0192
Full Workbook Only,False,Facebook,Monday,1,19,4,96151.5,660983.0,0.12807737150770993,0.0173
Full Workbook Only,False,Facebook,Saturday,6,8,4,244365.0,1477751.5,0.13467683140339698,0.01995
Full Workbook Only,False,Facebook,Saturday,6,9,2,43053.0,528142.0,0.11414652542736409,0.01185
Full Workbook Only,False,Facebook,Saturday,6,10,7,155861.0,1205496.5714285714,0.12644979021090036,0.018442857142857143
Full Workbook Only,False,Facebook,Saturday,6,11,4,305257.5,1785906.25,0.16986284697987777,0.024874999999999998
Full Workbook Only,False,Facebook,Saturday,6,12,2,241417.5,1578729.5,0.18514340475672603,0.0213
Full Workbook Only,False,Facebook,Saturday,6,13,1,192042.0,2204388.0,0.08711812232869395,0.0135
Full Workbook Only,False,Facebook,Saturday,6,14,3,49264.0,304018.6666666667,0.16325820797044124,0.016733333333333333
Full Workbook Only,False,Facebook,Saturday,6,15,7,130487.42857142857,802758.1428571428,0.17786626540311054,0.02192857142857143
Full Workbook Only,False,Facebook,Saturday,6,16,5,152643.6,950025.2,0.1559375380169644,0.02062
Full Workbook Only,False,Facebook,Saturday,6,17,7,101246.14285714286,789622.0,0.1540875909554216,0.021385714285714286
Full Workbook Only,False,Facebook,Saturday,6,18,1,306282.0,2484867.0,0.1232590878136832,0.0275
Full Workbook Only,False,Facebook,Sunday,7,9,2,186156.5,1976019.0,0.11913639084597859,0.0216
Full Workbook Only,False,Facebook,Sunday,7,10,9,56261.88888888889,443087.6666666667,0.1525527080080629,0.02381111111111111
Full Workbook Only,False,Facebook,Sunday,7,11,4,101772.25,814697.5,0.14185073295226563,0.022375
Full Workbook Only,False,Facebook,Sunday,7,12,4,209757.5,1438802.5,0.16132855286622896,0.02445
Full Workbook Only,False,Facebook,Sunday,7,13,2,66110.0,281583.5,0.23615187857154873,0.0133
Full Workbook Only,False,Facebook,Sunday,7,14,2,115669.0,1010967.0,0.17354371366362056,0.0273
Full Workbook Only,False,Facebook,Sunday,7,15,6,117474.33333333333,786910.1666666666,0.17374231181282895,0.025333333333333333
Full Workbook Only,False,Facebook,Sunday,7,16,4,123186.5,547902.5,0.20471725179582592,0.0167
Full Workbook Only,False,Facebook,Sunday,7,17,6,179295.66666666666,1344035.0,0.12279613688843345,0.02351666666666667
Full Workbook Only,False,Facebook,Sunday,7,19,2,133933.5,783290.5,0.1665292825015574,0.01885
Full Workbook Only,False,Facebook,Thursday,4,8,2,172155.5,1380093.5,0.1361505381734863,0.0174
Full Workbook Only,False,Facebook,Thursday,4,10,6,125663.0,1149646.0,0.15069474161078225,0.020116666666666668
Full Workbook Only,False,Facebook,Thursday,4,11,3,121631.0,778370.6666666666,0.1924943029109434,0.018833333333333334
Full Workbook Only,False,Facebook,Thursday,4,12,7,85378.85714285714,741255.1428571428,0.14997142758132992,0.020685714285714286
Full Workbook Only,False,Facebook,Thursday,4,14,1,72376.0,461208.0,0.1569284969655005,0.0248
Full Workbook Only,False,Facebook,Thursday,4,15,7,55943.857142857145,532866.4285714285,0.15328273900702946,0.018514285714285712
Full Workbook Only,False,Facebook,Thursday,4,16,11,85135.54545454546,491357.45454545453,0.17609458534370662,0.017181818181818184
Full Workbook Only,False,Facebook,Thursday,4,17,7,175384.14285714287,1643311.0,0.12703780819894053,0.023157142857142855
Full Workbook Only,False,Facebook,Thursday,4,18,2,34813.0,187750.5,0.18676849964842496,0.02525
Full Workbook Only,False,Facebook,Tuesday,2,8,2,68899.0,438318.0,0.17263539964588254,0.02085
Full Workbook Only,False,Facebook,Tuesday,2,9,2,124039.5,1321645.0,0.09771458113246041,0.01465
Full Workbook Only,False,Facebook,Tuesday,2,10,4,132312.25,1053164.25,0.12832946677050427,0.0144
Full Workbook Only,False,Facebook,Tuesday,2,11,4,81261.75,741606.25,0.14596801136167373,0.020900000000000002
Full Workbook Only,False,Facebook,Tuesday,2,12,4,52158.25,388743.25,0.15314490465456318,0.025025
Full Workbook Only,False,Facebook,Tuesday,2,13,2,70374.5,314609.0,0.21258192704186146,0.02175
Full Workbook Only,False,Facebook,Tuesday,2,14,2,36496.5,184423.5,0.19721195725734458,0.02085
Full Workbook Only,False,Facebook,Tuesday,2,15,4,152734.5,1191244.25,0.17664495760021318,0.01765
Full Workbook Only,False,Facebook,Tuesday,2,16,5,97503.0,573573.6,0.16545833299269133,0.021060000000000002
Full Workbook Only,False,Facebook,Tuesday,2,17,5,109830.0,1293492.2,0.12098175036523669,0.02318
Full Workbook Only,False,Facebook,Tuesday,2,19,3,126958.66666666667,1506539.3333333333,0.11642916088932777,0.019866666666666668
Full Workbook Only,False,Facebook,Wednesday,3,8,1,457338.0,2581957.0,0.1771288141420509,0.0109
Full Workbook Only,False,Facebook,Wednesday,3,10,5,172333.8,1251563.0,0.11872173191607256,0.021060000000000002
Full Workbook Only,False,Facebook,Wednesday,3,11,8,208077.625,1341998.25,0.1516705643431826,0.0174125
Full Workbook Only,False,Facebook,Wednesday,3,12,8,179537.625,1167082.875,0.1724511021388082,0.0219625
Full Workbook Only,False,Facebook,Wednesday,3,13,1,55990.0,250882.0,0.2231742623628177,0.0279
Full Workbook Only,False,Facebook,Wednesday,3,14,3,45853.666666666664,253652.33333333334,0.19188958834640765,0.026366666666666667
Full Workbook Only,False,Facebook,Wednesday,3,15,6,70923.5,466603.0,0.17579290160151007,0.023066666666666666
Full Workbook Only,False,Facebook,Wednesday,3,16,6,44927.333333333336,300631.3333333333,0.15543678308571562,0.021066666666666668
Full Workbook Only,False,Facebook,Wednesday,3,17,9,64042.22222222222,550772.2222222222,0.15312741133696306,0.021022222222222223
Full Workbook Only,False,Facebook,Wednesday,3,18,3,136742.33333333334,1300524.6666666667,0.11713637617449074,0.017699999999999997
Full Workbook Only,False,Facebook,Wednesday,3,19,3,186872.33333333334,1796488.0,0.1001819399919201,0.015433333333333334
Full Workbook Only,False,Instagram,Friday,5,8,7,117631.71428571429,591707.7142857143,0.17813088083175163,
Full Workbook Only,False,Instagram,Friday,5,9,2,69403.0,499718.0,0.1591138528634786,
Full Workbook Only,False,Instagram,Friday,5,10,19,152770.8947368421,1074148.894736842,0.14535391285806593,
Full Workbook Only,False,Instagram,Friday,5,11,14,192252.5,1153325.857142857,0.17394274905917634,
Full Workbook Only,False,Instagram,Friday,5,12,19,118959.15789473684,1028601.1052631579,0.14916203969516384,
Full Workbook Only,False,Instagram,Friday,5,13,4,161386.25,882121.5,0.20942967646829963,
Full Workbook Only,False,Instagram,Friday,5,14,2,357821.0,2773627.5,0.13344934484545404,
Full Workbook Only,False,Instagram,Friday,5,15,13,94259.46153846153,786889.3846153846,0.14601600037646842,
Full Workbook Only,False,Instagram,Friday,5,16,13,184362.0,1590017.6923076923,0.12489924211666435,
Full Workbook Only,False,Instagram,Friday,5,17,24,160211.58333333334,1254646.0833333333,0.14932869413104105,
Full Workbook Only,False,Instagram,Friday,5,18,2,172214.5,2148890.0,0.08224752290700789,
Full Workbook Only,False,Instagram,Friday,5,19,1,56019.0,305466.0,0.1833909226118676,
Full Workbook Only,False,Instagram,Monday,1,8,7,100709.28571428571,955381.2857142857,0.15269583516500831,
Full Workbook Only,False,Instagram,Monday,1,9,2,27362.0,216838.0,0.13285360649419986,
Full Workbook Only,False,Instagram,Monday,1,10,20,141854.65,1105141.95,0.1566072642592219,
Full Workbook Only,False,Instagram,Monday,1,11,20,157110.95,1137698.25,0.1655244752199108,
Full Workbook Only,False,Instagram,Monday,1,12,16,133245.4375,891760.875,0.16609395458346582,
Full Workbook Only,False,Instagram,Monday,1,13,6,97604.83333333333,610690.6666666666,0.17507508703164887,
Full Workbook Only,False,Instagram,Monday,1,14,2,59564.0,806505.0,0.12438846917423974,
Full Workbook Only,False,Instagram,Monday,1,15,21,97958.38095238095,667698.3333333334,0.15603768324570913,
Full Workbook Only,False,Instagram,Monday,1,16,24,103142.875,763246.7083333334,0.16457975337592848,
Full Workbook Only,False,Instagram,Monday,1,17,15,117843.6,822739.8666666667,0.14847205629061483,
Full Workbook Only,False,Instagram,Monday,1,18,4,45814.0,216866.0,0.21980916092743985,
Full Workbook Only,False,Instagram,Monday,1,19,5,75410.8,455349.8,0.17779101472100764,
Full Workbook Only,False,Instagram,Saturday,6,8,8,180714.875,1063098.875,0.16638214591612835,
Full Workbook Only,False,Instagram,Saturday,6,9,7,194825.7142857143,1233090.4285714286,0.1627548966293597,
Full Workbook Only,False,Instagram,Saturday,6,10,16,164027.125,1170145.6875,0.16629561376970342,
Full Workbook Only,False,Instagram,Saturday,6,11,21,127391.42857142857,746821.6666666666,0.1796419823678996,
Full Workbook Only,False,Instagram,Saturday,6,12,21,128809.04761904762,972951.4761904762,0.1489227263259982,
Full Workbook Only,False,Instagram,Saturday,6,13,2,23736.5,225675.0,0.1053153156860072,
Full Workbook Only,False,Instagram,Saturday,6,14,4,133440.75,993527.25,0.1583284847737017,
Full Workbook Only,False,Instagram,Saturday,6,15,12,98506.08333333333,960558.3333333334,0.11998529147308597,
Full Workbook Only,False,Instagram,Saturday,6,16,18,135609.66666666666,1027165.1111111111,0.15347079598332952,
Full Workbook Only,False,Instagram,Saturday,6,17,15,135628.0,1117836.8,0.1447303673842357,
Full Workbook Only,False,Instagram,Saturday,6,18,5,50766.6,271878.2,0.1863800021657908,
Full Workbook Only,False,Instagram,Saturday,6,19,3,67308.0,526811.0,0.17943797707894515,
Full Workbook Only,False,Instagram,Sunday,7,8,4,49612.25,283914.25,0.16563828964114358,
Full Workbook Only,False,Instagram,Sunday,7,9,4,181052.25,1893838.75,0.14365019157956221,
Full Workbook Only,False,Instagram,Sunday,7,10,17,112823.0,932037.6470588235,0.16146449162331256,
Full Workbook Only,False,Instagram,Sunday,7,11,20,137110.15,1259219.55,0.15531762250458797,
Full Workbook Only,False,Instagram,Sunday,7,12,20,161171.3,1026383.2,0.16239708824462798,
Full Workbook Only,False,Instagram,Sunday,7,13,4,139564.75,956807.5,0.17626214904316428,
Full Workbook Only,False,Instagram,Sunday,7,14,5,129982.8,1485791.6,0.12571049748958574,
Full Workbook Only,False,Instagram,Sunday,7,15,19,112299.05263157895,762821.2631578947,0.16524530511056826,
Full Workbook Only,False,Instagram,Sunday,7,16,16,84708.8125,543139.5,0.17026787463347964,
