scope_segment,is_challenge_scope,main_hashtag,platform,region,country,posts,total_impressions,total_clicks,avg_ctr,avg_engagement_rate
Challenge Scope,True,#ProductDemo,TikTok,Latin America,Brazil,1,3096115,63779.0,0.0206,0.1123721537785096
Challenge Scope,True,#ProductDemo,TikTok,North America,Canada,2,5668215,83732.0,0.015,0.13320938499982982
Challenge Scope,True,#ProductDemo,TikTok,North America,USA,1,4184320,54396.0,0.013,0.1263780057099394
Challenge Scope,True,#ProductDemo,X (Twitter),APAC,Australia,5,10329247,0.0,,0.11667783267802082
Challenge Scope,True,#ProductDemo,X (Twitter),APAC,Japan,2,5923433,0.0,,0.1070976422062375
Challenge Scope,True,#ProductDemo,X (Twitter),Europe,Germany,1,3243258,0.0,,0.1095428169475814
Challenge Scope,True,#ProductDemo,X (Twitter),Europe,UK,1,790395,0.0,,0.1459817228922653
Challenge Scope,True,#ProductDemo,X (Twitter),Latin America,Brazil,1,3037853,0.0,,0.1431555054837156
Challenge Scope,True,#ProductDemo,X (Twitter),North America,Canada,2,3505251,0.0,,0.1215633906579178
Challenge Scope,True,#ProductDemo,X (Twitter),North America,USA,4,10437660,0.0,,0.11178827395670589
Challenge Scope,True,#SaaSLaunch,LinkedIn,Europe,UK,2,1061832,16094.0,0.0157,0.09874428995251577
Challenge Scope,True,#SaaSLaunch,LinkedIn,Latin America,Brazil,1,3492054,95682.0,0.0274,0.1356235921976633
Challenge Scope,True,#SaaSLaunch,LinkedIn,North America,USA,2,3759715,52632.0,0.01505,0.1048865892559266
Challenge Scope,True,#SuccessStory,Instagram,APAC,Australia,4,1056406,0.0,,0.18951178043099154
Challenge Scope,True,#SuccessStory,Instagram,APAC,India,1,332558,0.0,,0.1756961961150151
Challenge Scope,True,#SuccessStory,Instagram,APAC,Japan,1,300158,0.0,,0.1629979055520371
Challenge Scope,True,#SuccessStory,Instagram,Europe,Germany,4,1137120,0.0,,0.2215659632124701
Challenge Scope,True,#SuccessStory,Instagram,Europe,UK,7,2141399,0.0,,0.20604051151255537
Challenge Scope,True,#SuccessStory,Instagram,Latin America,Brazil,5,1474748,0.0,,0.20500215842193104
Challenge Scope,True,#SuccessStory,Instagram,North America,Canada,5,2994728,0.0,,0.18752284488025805
Challenge Scope,True,#SuccessStory,Instagram,North America,USA,4,1832915,0.0,,0.2108573483086634
Challenge Scope,True,#SuccessStory,LinkedIn,Europe,Germany,1,300166,0.0,,0.1830707475287029
Challenge Scope,True,#SuccessStory,LinkedIn,Latin America,Brazil,1,259555,3711.0,0.0143,0.231980998554915
Challenge Scope,True,#SuccessStory,TikTok,APAC,Australia,1,446305,6382.0,0.0143,0.2027369114854419
Challenge Scope,True,#SuccessStory,TikTok,APAC,India,6,1524201,26671.0,0.017816666666666665,0.2017802577305923
Challenge Scope,True,#SuccessStory,TikTok,APAC,Japan,4,1134441,18966.0,0.017075,0.19596281555882034
Challenge Scope,True,#SuccessStory,TikTok,Europe,Germany,1,290991,5703.0,0.0196,0.204405481736421
Challenge Scope,True,#SuccessStory,TikTok,Europe,UK,6,1319406,27432.0,0.020716666666666668,0.19825764130053392
Challenge Scope,True,#SuccessStory,TikTok,Latin America,Brazil,2,505378,8107.0,0.0165,0.21065801607973264
Challenge Scope,True,#SuccessStory,TikTok,North America,Canada,4,1167861,22458.0,0.020825,0.17024037476561682
Challenge Scope,True,#SuccessStory,TikTok,North America,USA,2,480781,5813.0,0.01235,0.2248150221127364
Challenge Scope,True,#SuccessStory,X (Twitter),APAC,Australia,4,1211993,0.0,,0.20915115110535262
Challenge Scope,True,#SuccessStory,X (Twitter),APAC,India,5,1148792,0.0,,0.1991247970292489
Challenge Scope,True,#SuccessStory,X (Twitter),APAC,Japan,3,963748,0.0,,0.20885317512280477
Challenge Scope,True,#SuccessStory,X (Twitter),Europe,Germany,2,401192,0.0,,0.17513369929938244
Challenge Scope,True,#SuccessStory,X (Twitter),Europe,UK,7,2191627,0.0,,0.20513114067314872
Challenge Scope,True,#SuccessStory,X (Twitter),Latin America,Brazil,5,1473363,0.0,,0.21590298774536065
Challenge Scope,True,#SuccessStory,X (Twitter),North America,Canada,3,852658,0.0,,0.20442136130469124
Challenge Scope,True,#SuccessStory,X (Twitter),North America,USA,1,718840,0.0,,0.1996156902484061
Challenge Scope,True,#TrendingNow,Instagram,APAC,Australia,3,6078221,0.0,,0.06993177990322087
Challenge Scope,True,#TrendingNow,Instagram,Latin America,Brazil,1,2711918,0.0,,0.06442645477466157
Challenge Scope,True,#TrendingNow,Instagram,North America,Canada,1,2714171,0.0,,0.07231493892769625
Challenge Scope,True,#TrendingNow,Instagram,North America,USA,1,2863981,0.0,,0.09105041112785937
Challenge Scope,True,#TrendingNow,LinkedIn,North America,Canada,1,238460,3624.0,0.0152,0.1694776654324683
Challenge Scope,True,#TrendingNow,TikTok,APAC,India,1,2148316,39314.0,0.0183,0.0895376605664929
Challenge Scope,True,#TrendingNow,TikTok,North America,Canada,1,3492481,75437.0,0.0216,0.09784903847082468
Challenge Scope,True,#TrendingNow,TikTok,North America,USA,1,3409166,84206.0,0.0247,0.06401732397826936
Challenge Scope,True,#TrendingNow,X (Twitter),APAC,Australia,1,2278384,0.0,,0.06883808016199447
Challenge Scope,True,#TrendingNow,X (Twitter),APAC,India,3,2750510,0.0,,0.07904389386968914
Challenge Scope,True,#TrendingNow,X (Twitter),Latin America,Brazil,1,2600890,0.0,,0.06148674629060785
Challenge Scope,True,#TrendingNow,X (Twitter),North America,Canada,4,9953437,0.0,,0.07231964098816823
Challenge Scope,True,#TrendingNow,X (Twitter),North America,USA,1,3189651,0.0,,0.0795803916014189
Full Workbook Only,False,#BehindTheScenes,Facebook,APAC,Japan,2,567385,10549.0,0.018,0.13313991587297666
Full Workbook Only,False,#BehindTheScenes,Facebook,Europe,Germany,1,319959,5951.0,0.0186,0.1479813271508327
Full Workbook Only,False,#BehindTheScenes,Facebook,North America,Canada,1,566718,14054.0,0.0248,0.1569284969655005
Full Workbook Only,False,#CaseStudy2025,TikTok,Latin America,Brazil,1,93049,1944.0,0.0209,0.269301865906646
Full Workbook Only,False,#CustomerStory,Facebook,APAC,Australia,7,7941725,175065.0,0.023685714285714286,0.19589369096220619
Full Workbook Only,False,#CustomerStory,Facebook,APAC,India,7,5894406,125466.0,0.02145714285714286,0.20271365751906947
Full Workbook Only,False,#CustomerStory,Facebook,APAC,Japan,6,5735804,118693.0,0.023883333333333336,0.1871314125452959
Full Workbook Only,False,#CustomerStory,Facebook,Europe,Germany,2,2553447,63090.0,0.0216,0.182734335093686
Full Workbook Only,False,#CustomerStory,Facebook,Europe,UK,9,5598461,122852.0,0.0222,0.18616836550976945
Full Workbook Only,False,#CustomerStory,Facebook,Latin America,Brazil,5,4625312,63089.0,0.01684,0.19621334107737046
Full Workbook Only,False,#CustomerStory,Facebook,North America,Canada,8,2070536,39370.0,0.0195375,0.19231705010585268
Full Workbook Only,False,#CustomerStory,Facebook,North America,USA,5,1609212,36591.0,0.023280000000000002,0.19233344704189276
Full Workbook Only,False,#CustomerStory,Instagram,APAC,Australia,8,22225908,0.0,,0.18079166076486003
Full Workbook Only,False,#CustomerStory,Instagram,APAC,India,19,44923367,0.0,,0.20310956704149785
Full Workbook Only,False,#CustomerStory,Instagram,APAC,Japan,13,34595724,0.0,,0.18876753928475554
Full Workbook Only,False,#CustomerStory,Instagram,Europe,Germany,14,36881429,0.0,,0.19747218554671453
Full Workbook Only,False,#CustomerStory,Instagram,Europe,UK,10,24444460,0.0,,0.20080362473913332
Full Workbook Only,False,#CustomerStory,Instagram,Latin America,Brazil,19,46366886,0.0,,0.20598314309065388
Full Workbook Only,False,#CustomerStory,Instagram,North America,Canada,11,26509999,0.0,,0.2122630860076957
Full Workbook Only,False,#CustomerStory,Instagram,North America,USA,9,18767400,0.0,,0.19476965553858314
Full Workbook Only,False,#CustomerStory,LinkedIn,APAC,Japan,1,4565194,0.0,,0.1717565750662622
Full Workbook Only,False,#CustomerStory,LinkedIn,Europe,Germany,1,1132218,0.0,,0.2399879575163858
Full Workbook Only,False,#CustomerStory,LinkedIn,Europe,UK,2,387513,1404.0,0.0127,0.22310352413285675
Full Workbook Only,False,#CustomerStory,TikTok,APAC,Australia,13,23142398,400866.0,0.017469230769230768,0.1958056617122978
Full Workbook Only,False,#CustomerStory,TikTok,APAC,India,8,22883497,421898.0,0.0181,0.19659925347876867
Full Workbook Only,False,#CustomerStory,TikTok,APAC,Japan,16,35457081,620979.0,0.01718125,0.20110258366207226
Full Workbook Only,False,#CustomerStory,TikTok,Europe,Germany,14,34514196,687152.0,0.019192857142857143,0.2047472311003471
Full Workbook Only,False,#CustomerStory,TikTok,Europe,UK,12,29104555,452106.0,0.015700000000000002,0.204696917937953
Full Workbook Only,False,#CustomerStory,TikTok,Latin America,Brazil,13,33114805,661051.0,0.018984615384615385,0.1991825545273868
Full Workbook Only,False,#CustomerStory,TikTok,North America,Canada,12,26979549,539243.0,0.0197,0.1907168710312079
Full Workbook Only,False,#CustomerStory,TikTok,North America,USA,14,34223142,586693.0,0.017657142857142857,0.19581737578925867
Full Workbook Only,False,#CustomerStory,X (Twitter),APAC,Australia,11,31173585,0.0,,0.18963619239155569
Full Workbook Only,False,#CustomerStory,X (Twitter),APAC,India,7,18841435,0.0,,0.2087121056604953
Full Workbook Only,False,#CustomerStory,X (Twitter),APAC,Japan,5,11157551,0.0,,0.2064259044091752
Full Workbook Only,False,#CustomerStory,X (Twitter),Europe,Germany,10,24551153,0.0,,0.20087179054188606
Full Workbook Only,False,#CustomerStory,X (Twitter),Europe,UK,12,27431172,0.0,,0.20730661794130653
Full Workbook Only,False,#CustomerStory,X (Twitter),Latin America,Brazil,9,24553741,0.0,,0.18985617117794817
Full Workbook Only,False,#CustomerStory,X (Twitter),North America,Canada,9,23049770,0.0,,0.20854757237060106
Full Workbook Only,False,#CustomerStory,X (Twitter),North America,USA,14,34558507,0.0,,0.18284558312778634
Full Workbook Only,False,#CustomerStory,YouTube,APAC,Australia,74,53335744,0.0,,0.1961445472886802
Full Workbook Only,False,#CustomerStory,YouTube,APAC,India,79,53687181,0.0,,0.19857168566145228
Full Workbook Only,False,#CustomerStory,YouTube,APAC,Japan,71,61247166,0.0,,0.1940445217947736
Full Workbook Only,False,#CustomerStory,YouTube,Europe,Germany,54,36746085,0.0,,0.19676645690967445
Full Workbook Only,False,#CustomerStory,YouTube,Europe,UK,94,46812298,0.0,,0.1966524842534392
Full Workbook Only,False,#CustomerStory,YouTube,Latin America,Brazil,94,59791594,0.0,,0.19770626057552632
Full Workbook Only,False,#CustomerStory,YouTube,North America,Canada,94,67314501,0.0,,0.1957697002887665
Full Workbook Only,False,#CustomerStory,YouTube,North America,USA,90,56246913,0.0,,0.20115517339256006
Full Workbook Only,False,#CustomerSuccess,LinkedIn,APAC,Australia,13,8943539,205701.0,0.018007692307692308,0.1893276911557137
Full Workbook Only,False,#CustomerSuccess,LinkedIn,APAC,India,11,6798524,120316.0,0.019536363636363636,0.19516911286684388
Full Workbook Only,False,#CustomerSuccess,LinkedIn,APAC,Japan,9,3524319,56940.0,0.01648888888888889,0.19962903565139825
Full Workbook Only,False,#CustomerSuccess,LinkedIn,Europe,Germany,9,3352047,73787.0,0.02281111111111111,0.20499438703135875
Full Workbook Only,False,#CustomerSuccess,LinkedIn,Europe,UK,6,3489741,76386.0,0.018433333333333333,0.20378372085864074
Full Workbook Only,False,#CustomerSuccess,LinkedIn,Latin America,Brazil,9,5316867,116881.0,0.01972222222222222,0.20611417069091678
Full Workbook Only,False,#CustomerSuccess,LinkedIn,North America,Canada,12,8323601,138096.0,0.016966666666666668,0.18972514782424446
Full Workbook Only,False,#CustomerSuccess,LinkedIn,North America,USA,15,9202111,164679.0,0.017546666666666665,0.1945693782375078
Full Workbook Only,False,#DidYouKnow,LinkedIn,APAC,Australia,20,23247859,415831.0,0.020050000000000002,0.16422898343968612
Full Workbook Only,False,#DidYouKnow,LinkedIn,APAC,India,15,16310343,290859.0,0.019954545454545454,0.1402009973140167
Full Workbook Only,False,#DidYouKnow,LinkedIn,APAC,Japan,13,22730606,395215.0,0.018166666666666668,0.13787200141767977
Full Workbook Only,False,#DidYouKnow,LinkedIn,Europe,Germany,10,3820279,55379.0,0.022316666666666665,0.13953657047256013
Full Workbook Only,False,#DidYouKnow,LinkedIn,Europe,UK,17,9294162,152780.0,0.02186923076923077,0.15985697539748464
Full Workbook Only,False,#DidYouKnow,LinkedIn,Latin America,Brazil,17,14384316,234341.0,0.018935714285714285,0.14071021877339834
Full Workbook Only,False,#DidYouKnow,LinkedIn,North America,Canada,12,10000401,141123.0,0.016163636363636363,0.16637306268500085
Full Workbook Only,False,#DidYouKnow,LinkedIn,North America,USA,13,9436540,147162.0,0.01935,0.15118957335633787
Full Workbook Only,False,#EventRecap,Facebook,APAC,India,1,68284,1693.0,0.0248,0.1614740336647633
Full Workbook Only,False,#EventRecap,Facebook,Europe,Germany,3,3376332,50416.0,0.0192,0.1464678946617821
Full Workbook Only,False,#EventRecap,Facebook,North America,USA,1,263879,3931.0,0.0149,0.1651907463213352
Full Workbook Only,False,#EventRecap,Instagram,APAC,Australia,10,3309832,0.0,,0.12848352020956713
Full Workbook Only,False,#EventRecap,Instagram,APAC,India,12,2900239,0.0,,0.14550804920952662
Full Workbook Only,False,#EventRecap,Instagram,APAC,Japan,15,5263070,0.0,,0.13793762609759527
Full Workbook Only,False,#EventRecap,Instagram,Europe,Germany,13,4402845,0.0,,0.14655852580033168
Full Workbook Only,False,#EventRecap,Instagram,Europe,UK,11,3601910,0.0,,0.1493384307255872
Full Workbook Only,False,#EventRecap,Instagram,Latin America,Brazil,18,7168835,0.0,,0.14554749720598806
Full Workbook Only,False,#EventRecap,Instagram,North America,Canada,24,7563676,0.0,,0.1366609574497785
Full Workbook Only,False,#EventRecap,Instagram,North America,USA,16,5307625,0.0,,0.12656939297584674
Full Workbook Only,False,#EventRecap,LinkedIn,APAC,Australia,1,483687,0.0,,0.1439037998576623
Full Workbook Only,False,#EventRecap,TikTok,APAC,Australia,12,3564899,67818.0,0.019108333333333335,0.14212221897327912
Full Workbook Only,False,#EventRecap,TikTok,APAC,India,9,3020022,53401.0,0.017822222222222222,0.14481366298271248
Full Workbook Only,False,#EventRecap,TikTok,APAC,Japan,16,4120565,67231.0,0.01668125,0.14748135732875753
Full Workbook Only,False,#EventRecap,TikTok,Europe,Germany,8,2326386,43198.0,0.0195625,0.12984861432383707
Full Workbook Only,False,#EventRecap,TikTok,Europe,UK,22,6920709,118394.0,0.01699090909090909,0.13838883418067016
Full Workbook Only,False,#EventRecap,TikTok,Latin America,Brazil,17,5081682,87409.0,0.01778235294117647,0.14825620279705637
Full Workbook Only,False,#EventRecap,TikTok,North America,Canada,11,3540527,66638.0,0.01838181818181818,0.14037330277122703
Full Workbook Only,False,#EventRecap,TikTok,North America,USA,11,3511356,63697.0,0.01838181818181818,0.12753303550576123
Full Workbook Only,False,#EventRecap,X (Twitter),APAC,Australia,12,3799621,0.0,,0.14907547663543497
Full Workbook Only,False,#EventRecap,X (Twitter),APAC,India,14,4790808,0.0,,0.1381504184775645
Full Workbook Only,False,#EventRecap,X (Twitter),APAC,Japan,15,4776287,0.0,,0.14731709895878567
Full Workbook Only,False,#EventRecap,X (Twitter),Europe,Germany,14,4124014,0.0,,0.1319157612308451
Full Workbook Only,False,#EventRecap,X (Twitter),Europe,UK,13,3504894,0.0,,0.13311979154685652
Full Workbook Only,False,#EventRecap,X (Twitter),Latin America,Brazil,14,4713559,0.0,,0.1416841531156798
Full Workbook Only,False,#EventRecap,X (Twitter),North America,Canada,14,4756267,0.0,,0.14710828788079924
Full Workbook Only,False,#EventRecap,X (Twitter),North America,USA,22,7730194,0.0,,0.13207823473663075
Full Workbook Only,False,#EventSummary,LinkedIn,APAC,Australia,5,902244,23281.0,0.02466,0.12942504484940281
Full Workbook Only,False,#EventSummary,LinkedIn,APAC,India,4,4425315,91324.0,0.0194,0.12205454896891696
Full Workbook Only,False,#EventSummary,LinkedIn,APAC,Japan,6,3059991,58766.0,0.021516666666666667,0.14284374095645574
Full Workbook Only,False,#EventSummary,LinkedIn,Europe,Germany,2,572326,6017.0,0.0106,0.15252623289915435
Full Workbook Only,False,#EventSummary,LinkedIn,Europe,UK,3,1479992,19933.0,0.015333333333333332,0.1554254856953378
Full Workbook Only,False,#EventSummary,LinkedIn,Latin America,Brazil,3,1142870,23317.0,0.020733333333333336,0.14557361718967868
Full Workbook Only,False,#EventSummary,LinkedIn,North America,Canada,8,2776522,59126.0,0.0212,0.13336150036055314
Full Workbook Only,False,#EventSummary,LinkedIn,North America,USA,4,3159252,62939.0,0.019975,0.15198784243489835
Full Workbook Only,False,#FeatureHighlight,Facebook,APAC,Australia,5,10390496,190643.0,0.01952,0.1083483391820095
Full Workbook Only,False,#FeatureHighlight,Facebook,APAC,India,3,2383314,51900.0,0.0189,0.11254650362027767
Full Workbook Only,False,#FeatureHighlight,Facebook,APAC,Japan,2,5169776,59622.0,0.0116,0.12674249125336207
Full Workbook Only,False,#FeatureHighlight,Facebook,Europe,Germany,6,6845810,148416.0,0.021516666666666667,0.11487078545316681
Full Workbook Only,False,#FeatureHighlight,Facebook,Europe,UK,6,18031393,374035.0,0.021500000000000002,0.12759192666697003
Full Workbook Only,False,#FeatureHighlight,Facebook,Latin America,Brazil,1,2236280,27282.0,0.0122,0.1163080974016392
Full Workbook Only,False,#FeatureHighlight,Facebook,North America,USA,2,5688408,116690.0,0.0207,0.09792610851865605
Full Workbook Only,False,#FeatureHighlight,Instagram,APAC,Australia,8,2951839,0.0,,0.11945790549085722
Full Workbook Only,False,#FeatureHighlight,Instagram,APAC,India,6,2196217,0.0,,0.10584326353042321
Full Workbook Only,False,#FeatureHighlight,Instagram,APAC,Japan,4,1140470,0.0,,0.0992962316005229
Full Workbook Only,False,#FeatureHighlight,Instagram,Europe,Germany,7,2189724,0.0,,0.113718384964516
Full Workbook Only,False,#FeatureHighlight,Instagram,Europe,UK,7,2357179,0.0,,0.11114300263383023
Full Workbook Only,False,#FeatureHighlight,Instagram,Latin America,Brazil,8,2333244,0.0,,0.11561800814450528
Full Workbook Only,False,#FeatureHighlight,Instagram,North America,Canada,4,1338418,0.0,,0.09607274052972599
Full Workbook Only,False,#FeatureHighlight,Instagram,North America,USA,6,1723595,0.0,,0.10915292816987776
Full Workbook Only,False,#FeatureHighlight,LinkedIn,APAC,Australia,2,909842,0.0,,0.12215720228285198
Full Workbook Only,False,#FeatureHighlight,LinkedIn,APAC,India,4,2600364,0.0,,0.10315287583216814
Full Workbook Only,False,#FeatureHighlight,LinkedIn,APAC,Japan,7,3609879,0.0,,0.11438628857520891
Full Workbook Only,False,#FeatureHighlight,LinkedIn,Europe,Germany,7,5094940,0.0,,0.11599246926181224
Full Workbook Only,False,#FeatureHighlight,LinkedIn,Europe,UK,2,619095,0.0,,0.10077188297262182
Full Workbook Only,False,#FeatureHighlight,LinkedIn,Latin America,Brazil,5,3313539,0.0,,0.1098968136038816
Full Workbook Only,False,#FeatureHighlight,LinkedIn,North America,Canada,5,2753348,0.0,,0.11601953247542654
Full Workbook Only,False,#FeatureHighlight,LinkedIn,North America,USA,5,3013357,0.0,,0.1368278416127419
Full Workbook Only,False,#FeatureHighlight,TikTok,APAC,Australia,9,2873134,46069.0,0.015722222222222224,0.1224004143122225
