city,latitude,longitude,listing_count
Bangkok,13.7,100.55,12
Bangkok,13.72,100.61,12
Bangkok,13.67,100.63,12
Bangkok,13.73,100.65,12
Bangkok,13.91,100.59,12
Bangkok,13.79,100.52,12
Bangkok,13.72,100.77,12
Bangkok,13.68,100.54,11
Bangkok,13.87,100.6,11
Bangkok,13.69,100.42,11
Bangkok,13.78,100.59,11
Bangkok,13.7,100.64,11
Bangkok,13.66,100.65,11
Bangkok,13.9,100.58,11
Bangkok,13.93,100.58,11
Bangkok,13.87,100.58,11
Bangkok,13.72,100.76,11
Bangkok,13.75,100.62,11
Bangkok,13.8,100.71,11
Bangkok,13.7,100.49,10
Bangkok,13.79,100.49,10
Bangkok,13.79,100.47,10
Bangkok,13.76,100.63,10
Bangkok,13.84,100.56,10
Bangkok,13.79,100.51,10
Bangkok,13.89,100.59,10
Bangkok,13.91,100.57,10
Bangkok,13.77,100.51,10
Bangkok,13.74,100.53,10
Bangkok,13.78,100.47,9
Bangkok,13.72,100.47,9
Bangkok,13.73,100.63,9
Bangkok,13.85,100.64,9
Bangkok,13.82,100.61,9
Bangkok,13.71,100.46,9
Bangkok,13.7,100.48,9
Bangkok,13.83,100.68,9
Bangkok,13.78,100.67,9
Bangkok,13.71,100.44,9
Bangkok,13.71,100.65,9
Bangkok,13.65,100.64,9
Bangkok,13.79,100.65,9
Bangkok,13.72,100.75,9
Bangkok,13.91,100.58,9
Bangkok,13.68,100.5,8
Bangkok,13.78,100.61,8
Bangkok,13.71,100.57,8
Bangkok,13.69,100.51,8
Bangkok,13.71,100.4,8
Bangkok,13.87,100.62,8
Bangkok,13.66,100.5,8
Bangkok,13.81,100.72,8
Bangkok,13.74,100.46,8
Bangkok,13.77,100.62,8
Bangkok,13.82,100.68,8
Bangkok,13.83,100.64,8
Bangkok,13.72,100.66,8
Bangkok,13.7,100.44,8
Bangkok,13.8,100.52,8
Bangkok,13.78,100.62,8
Bangkok,13.76,100.75,8
Bangkok,13.69,100.55,7
Bangkok,13.72,100.7,7
Bangkok,13.77,100.66,7
Bangkok,13.83,100.66,7
Bangkok,13.68,100.59,7
Bangkok,13.78,100.5,7
Bangkok,13.74,100.75,7
Bangkok,13.72,100.78,7
Bangkok,13.71,100.42,7
Bangkok,13.73,100.46,7
Bangkok,13.89,100.62,7
Bangkok,13.7,100.63,7
Bangkok,13.83,100.58,7
Bangkok,13.83,100.55,7
Bangkok,13.8,100.61,7
Bangkok,13.78,100.46,7
Bangkok,13.69,100.65,7
Bangkok,13.77,100.65,7
Bangkok,13.86,100.61,7
Bangkok,13.72,100.64,7
Bangkok,13.78,100.51,7
Bangkok,13.74,100.73,7
Bangkok,13.81,100.51,7
Bangkok,13.8,100.54,6
Bangkok,13.84,100.66,6
Bangkok,13.74,100.42,6
Bangkok,13.81,100.67,6
Bangkok,13.86,100.62,6
Bangkok,13.7,100.47,6
Bangkok,13.7,100.42,6
Bangkok,13.74,100.47,6
Bangkok,13.86,100.58,6
Bangkok,13.83,100.52,6
Bangkok,13.78,100.75,6
Bangkok,13.81,100.61,6
Bangkok,13.7,100.62,6
Bangkok,13.72,100.63,6
Bangkok,13.87,100.56,6
Bangkok,13.93,100.57,6
Bangkok,13.85,100.58,6
Bangkok,13.86,100.55,6
Bangkok,13.67,100.44,6
Bangkok,13.73,100.74,6
Bangkok,13.8,100.74,6
Bangkok,13.83,100.59,6
Bangkok,13.78,100.66,6
Bangkok,13.86,100.57,6
Bangkok,13.74,100.37,6
Bangkok,13.94,100.59,6
Bangkok,13.81,100.65,5
Bangkok,13.7,100.43,5
Bangkok,13.68,100.47,5
Bangkok,13.68,100.65,5
Bangkok,13.83,100.62,5
Bangkok,13.69,100.53,5
Bangkok,13.8,100.5,5
Bangkok,13.73,100.75,5
Bangkok,13.86,100.59,5
Bangkok,13.85,100.61,5
Bangkok,13.81,100.71,5
Bangkok,13.85,100.67,5
Bangkok,13.77,100.67,5
Bangkok,13.95,100.62,5
Bangkok,13.78,100.68,5
Bangkok,13.85,100.55,5
Bangkok,13.85,100.56,5
Bangkok,13.94,100.63,5
Bangkok,13.66,100.69,5
Bangkok,13.74,100.66,5
Bangkok,13.75,100.78,5
Bangkok,13.73,100.62,5
Bangkok,13.7,100.68,5
Bangkok,13.71,100.41,5
Bangkok,13.8,100.6,5
Bangkok,13.83,100.63,5
Bangkok,13.75,100.46,5
Bangkok,13.94,100.61,5
Bangkok,13.87,100.57,5
Bangkok,13.82,100.67,4
Bangkok,13.69,100.48,4
Bangkok,13.74,100.7,4
Bangkok,13.82,100.55,4
Bangkok,13.69,100.5,4
Bangkok,13.82,100.52,4
Bangkok,13.84,100.7,4
Bangkok,13.87,100.61,4
Bangkok,13.82,100.63,4
Bangkok,13.79,100.62,4
Bangkok,13.67,100.53,4
Bangkok,13.8,100.62,4
Bangkok,13.86,100.65,4
Bangkok,13.79,100.78,4
Bangkok,13.82,100.62,4
Bangkok,13.82,100.6,4
Bangkok,13.83,100.67,4
Bangkok,13.83,100.61,4
Bangkok,13.78,100.69,4
Bangkok,13.67,100.51,4
Bangkok,13.81,100.59,4
Bangkok,13.72,100.79,4
Bangkok,13.84,100.65,4
Bangkok,13.81,100.6,4
Bangkok,13.65,100.51,4
Bangkok,13.75,100.67,4
Bangkok,13.9,100.56,4
Bangkok,13.79,100.5,4
Bangkok,13.74,100.61,4
Bangkok,13.77,100.61,4
Bangkok,13.84,100.54,4
Bangkok,13.8,100.53,4
Bangkok,13.86,100.68,4
Bangkok,13.87,100.71,4
Bangkok,13.74,100.74,3
Bangkok,13.9,100.64,3
Bangkok,13.73,100.41,3
Bangkok,13.72,100.71,3
Bangkok,13.77,100.41,3
Bangkok,13.66,100.44,3
Bangkok,13.69,100.41,3
Bangkok,13.71,100.34,3
Bangkok,13.92,100.65,3
Bangkok,13.67,100.46,3
Bangkok,13.68,100.46,3
Bangkok,13.86,100.64,3
Bangkok,13.88,100.62,3
Bangkok,13.8,100.65,3
Bangkok,13.94,100.62,3
Bangkok,13.75,100.68,3
Bangkok,13.67,100.67,3
Bangkok,13.74,100.36,3
Bangkok,13.76,100.44,3
Bangkok,13.68,100.69,3
Bangkok,13.65,100.5,3
Bangkok,13.86,100.83,3
Bangkok,13.79,100.53,3
Bangkok,13.77,100.43,3
Bangkok,13.76,100.68,3
Bangkok,13.88,100.61,3
Bangkok,13.72,100.68,3
Bangkok,13.76,100.45,3
Bangkok,13.81,100.73,3
Bangkok,13.86,100.66,3
Bangkok,13.72,100.67,3
Bangkok,13.92,100.67,3
Bangkok,13.74,100.43,3
Bangkok,13.75,100.45,3
Bangkok,13.85,100.69,3
Bangkok,13.83,100.6,3
Bangkok,13.9,100.61,3
Bangkok,13.81,100.92,3
Bangkok,13.73,100.45,3
Bangkok,13.6,100.5,3
Bangkok,13.69,100.43,3
Bangkok,13.79,100.46,3
Bangkok,13.77,100.68,3
Bangkok,13.69,100.37,3
Bangkok,13.75,100.7,3
Bangkok,13.76,100.6,3
Bangkok,13.75,100.75,3
Bangkok,13.82,100.73,3
Bangkok,13.78,100.65,3
Bangkok,13.79,100.33,3
Bangkok,13.95,100.58,3
Bangkok,13.71,100.67,3
Bangkok,13.66,100.43,3
Bangkok,13.79,100.45,3
Bangkok,13.81,100.69,3
Bangkok,13.82,100.66,3
Bangkok,13.85,100.62,3
Bangkok,13.63,100.51,3
Bangkok,13.7,100.46,3
Bangkok,13.78,100.84,3
Bangkok,13.66,100.45,3
Bangkok,13.84,100.63,3
Bangkok,13.84,100.69,3
Bangkok,13.79,100.64,3
Bangkok,13.83,100.65,2
Bangkok,13.76,100.43,2
Bangkok,13.78,100.44,2
Bangkok,13.87,100.59,2
Bangkok,13.89,100.57,2
Bangkok,13.76,100.59,2
Bangkok,13.84,100.55,2
Bangkok,13.67,100.55,2
Bangkok,13.81,100.64,2
Bangkok,13.88,100.55,2
Bangkok,13.61,100.51,2
Bangkok,13.73,100.61,2
Bangkok,13.71,100.7,2
Bangkok,13.81,100.7,2
Bangkok,13.79,100.79,2
Bangkok,13.67,100.36,2
Bangkok,13.88,100.74,2
Bangkok,13.79,100.36,2
Bangkok,13.69,100.44,2
Bangkok,13.77,100.45,2
Bangkok,13.86,100.67,2
Bangkok,13.81,100.62,2
Bangkok,13.95,100.57,2
Bangkok,13.75,100.73,2
Bangkok,13.66,100.46,2
Bangkok,13.84,100.6,2
Bangkok,13.78,100.72,2
Bangkok,13.8,100.72,2
Bangkok,13.65,100.36,2
Bangkok,13.77,100.7,2
Bangkok,13.85,100.66,2
Bangkok,13.84,100.85,2
Bangkok,13.79,100.74,2
Bangkok,13.82,100.72,2
Bangkok,13.61,100.41,2
Bangkok,13.64,100.44,2
Bangkok,13.84,100.67,2
Bangkok,13.77,100.72,2
Bangkok,13.88,100.71,2
Bangkok,13.91,100.67,2
Bangkok,13.7,100.36,2
Bangkok,13.65,100.63,2
Bangkok,13.88,100.66,2
Bangkok,13.85,100.68,2
Bangkok,13.91,100.65,2
Bangkok,13.69,100.45,2
Bangkok,13.69,100.59,2
Bangkok,13.79,100.67,2
Bangkok,13.7,100.4,2
Bangkok,13.72,100.38,2
Bangkok,13.71,100.35,2
Bangkok,13.7,100.83,2
Bangkok,13.72,100.44,2
Bangkok,13.73,100.79,2
Bangkok,13.8,100.69,2
Bangkok,13.85,100.54,2
Bangkok,13.92,100.64,2
Bangkok,13.65,100.43,2
Bangkok,13.9,100.57,2
Bangkok,13.76,100.67,2
Bangkok,13.65,100.48,2
Bangkok,13.73,100.73,2
Bangkok,13.8,100.78,2
Bangkok,13.84,100.73,2
Bangkok,13.76,100.66,2
Bangkok,13.73,100.66,2
Bangkok,13.66,100.47,2
Bangkok,13.91,100.63,2
Bangkok,13.63,100.5,2
Bangkok,13.7,100.7,2
Bangkok,13.84,100.68,2
Bangkok,13.64,100.48,2
Bangkok,13.7,100.71,2
Bangkok,13.86,100.69,2
Bangkok,13.91,100.64,2
Bangkok,13.78,100.43,2
Bangkok,13.87,100.65,2
Bangkok,13.75,100.42,2
Bangkok,13.71,100.82,2
Bangkok,13.85,100.73,2
Cape Town,-33.92,18.42,914
Cape Town,-33.91,18.41,573
Cape Town,-33.93,18.42,459
Cape Town,-33.93,18.41,454
Cape Town,-33.96,18.38,422
Cape Town,-33.91,18.4,417
Cape Town,-33.91,18.42,404
Cape Town,-33.92,18.39,387
Cape Town,-33.95,18.38,332
Cape Town,-33.92,18.38,328
Cape Town,-33.82,18.48,294
Cape Town,-33.91,18.39,249
Cape Town,-33.93,18.38,236
Cape Town,-33.81,18.47,229
Cape Town,-33.94,18.42,213
Cape Town,-33.93,18.45,196
Cape Town,-33.94,18.47,168
Cape Town,-33.79,18.46,161
Cape Town,-33.94,18.41,150
Cape Town,-33.92,18.41,138
Cape Town,-33.93,18.4,133
Cape Town,-34.04,18.35,132
Cape Town,-33.89,18.51,126
Cape Town,-33.94,18.38,121
Cape Town,-33.94,18.4,118
Cape Town,-34.14,18.43,115
Cape Town,-33.8,18.46,110
Cape Town,-34.14,18.33,106
Cape Town,-33.98,18.46,105
Cape Town,-34.11,18.47,95
Cape Town,-33.94,18.43,95
Cape Town,-34.01,18.34,95
Cape Town,-34.13,18.45,94
Cape Town,-33.95,18.39,94
Cape Town,-34.04,18.36,93
Cape Town,-34.1,18.47,92
Cape Town,-34.2,18.38,92
Cape Town,-34.11,18.82,89
Cape Town,-33.93,18.44,87
Cape Town,-33.93,18.46,86
Cape Town,-34.16,18.87,85
Cape Town,-33.83,18.48,83
Cape Town,-33.99,18.47,81
Cape Town,-33.86,18.49,80
Cape Town,-33.85,18.49,79
Cape Town,-33.98,18.45,77
Cape Town,-34.12,18.83,74
Cape Town,-33.97,18.47,74
Cape Town,-33.81,18.48,73
Cape Town,-33.99,18.46,71
Cape Town,-34.2,18.45,70
Cape Town,-33.92,18.43,70
Cape Town,-33.97,18.38,70
Cape Town,-34.1,18.48,69
Cape Town,-34.21,18.46,69
Cape Town,-33.98,18.47,67
Cape Town,-33.96,18.37,67
Cape Town,-34.1,18.39,67
Cape Town,-34.03,18.35,65
Cape Town,-33.97,18.48,62
Cape Town,-34.12,18.45,61
Cape Town,-33.82,18.49,61
Cape Town,-34.0,18.47,59
Cape Town,-33.93,18.43,59
Cape Town,-33.89,18.49,59
Cape Town,-33.83,18.5,58
Cape Town,-34.02,18.35,58
Cape Town,-33.98,18.48,58
Cape Town,-34.04,18.43,58
Cape Town,-34.01,18.43,58
Cape Town,-33.82,18.47,57
Cape Town,-33.96,18.47,57
Cape Town,-33.88,18.49,56
Cape Town,-33.89,18.48,55
Cape Town,-33.96,18.39,55
Cape Town,-34.1,18.82,54
Cape Town,-33.93,18.39,54
Cape Town,-33.95,18.48,53
Cape Town,-34.05,18.36,52
Cape Town,-33.9,18.41,51
Cape Town,-34.06,18.82,50
Cape Town,-34.16,18.43,50
Cape Town,-33.9,18.4,48
Cape Town,-34.13,18.34,48
Cape Town,-33.8,18.47,48
Cape Town,-34.01,18.44,48
Cape Town,-33.81,18.51,47
Cape Town,-34.02,18.46,47
Cape Town,-34.11,18.83,46
Cape Town,-34.01,18.35,46
Cape Town,-34.09,18.48,45
Cape Town,-34.02,18.37,45
Cape Town,-34.1,18.36,45
Cape Town,-33.99,18.45,44
Cape Town,-34.02,18.44,44
Cape Town,-33.73,18.44,44
Cape Town,-33.97,18.46,44
Cape Town,-33.83,18.49,44
Cape Town,-34.02,18.38,44
Cape Town,-34.13,18.43,43
Cape Town,-33.95,18.47,43
Cape Town,-33.97,18.49,43
Cape Town,-34.04,18.44,42
Cape Town,-34.03,18.36,41
Cape Town,-34.02,18.36,41
Cape Town,-34.12,18.46,41
Cape Town,-33.94,18.5,40
Cape Town,-34.01,18.38,40
Cape Town,-34.04,18.37,40
Cape Town,-34.14,18.32,39
Cape Town,-34.06,18.86,39
Cape Town,-33.91,18.43,39
Cape Town,-34.06,18.84,38
Cape Town,-33.88,18.58,38
Cape Town,-33.92,18.4,38
Cape Town,-34.15,18.86,38
Cape Town,-34.06,18.44,38
Cape Town,-34.11,18.38,38
Cape Town,-34.06,18.83,37
Cape Town,-34.09,18.46,37
Cape Town,-34.19,18.43,37
Cape Town,-34.15,18.44,37
Cape Town,-33.96,18.49,36
Cape Town,-34.06,18.85,35
Cape Town,-34.04,18.46,35
Cape Town,-33.88,18.5,35
Cape Town,-34.17,18.43,34
Cape Town,-33.8,18.5,34
Cape Town,-33.82,18.5,33
Cape Town,-34.03,18.45,33
Cape Town,-34.04,18.45,33
Cape Town,-34.14,18.42,33
Cape Town,-33.89,18.52,32
Cape Town,-34.03,18.46,32
Cape Town,-33.8,18.48,32
Cape Town,-34.2,18.44,32
Cape Town,-34.16,18.86,32
Cape Town,-34.1,18.37,32
Cape Town,-33.88,18.57,32
Cape Town,-34.16,18.88,32
Cape Town,-33.97,18.45,32
Cape Town,-34.02,18.42,31
Cape Town,-33.87,18.5,31
Cape Town,-34.02,18.45,31
Cape Town,-34.12,18.38,31
Cape Town,-34.13,18.44,30
Cape Town,-33.89,18.59,30
Cape Town,-33.94,18.45,30
Cape Town,-33.93,18.51,30
Cape Town,-33.98,18.44,30
Cape Town,-33.82,18.51,30
Cape Town,-34.07,18.84,29
Cape Town,-34.2,18.43,29
Cape Town,-34.1,18.38,29
Cape Town,-34.09,18.87,28
Cape Town,-34.14,18.39,28
Cape Town,-34.05,18.82,28
Cape Town,-34.08,18.86,28
Cape Town,-33.83,18.51,28
Cape Town,-34.07,18.85,28
Cape Town,-34.15,18.87,28
Cape Town,-33.88,18.61,28
Cape Town,-33.81,18.5,28
Cape Town,-34.01,18.39,27
Cape Town,-34.17,18.86,27
Cape Town,-34.1,18.49,27
Cape Town,-34.11,18.39,27
Cape Town,-33.8,18.51,27
Cape Town,-33.85,18.51,27
Cape Town,-33.98,18.49,26
Cape Town,-33.72,18.45,26
Cape Town,-34.07,18.86,26
Cape Town,-34.09,18.81,26
Cape Town,-34.02,18.48,26
Cape Town,-34.0,18.46,26
Cape Town,-34.05,18.44,26
Cape Town,-33.99,18.48,26
Cape Town,-34.03,18.34,25
Cape Town,-34.03,18.43,25
Cape Town,-34.2,18.37,25
Cape Town,-33.89,18.5,25
Cape Town,-34.13,18.39,25
Cape Town,-33.96,18.48,24
Cape Town,-33.87,18.64,24
Cape Town,-33.94,18.46,24
Cape Town,-33.86,18.5,24
Cape Town,-34.14,18.34,24
Cape Town,-34.01,18.46,23
Cape Town,-33.78,18.45,23
Cape Town,-33.93,18.47,23
Cape Town,-33.88,18.59,23
Cape Town,-34.18,18.42,23
Cape Town,-33.88,18.64,23
Cape Town,-33.9,18.5,23
Cape Town,-34.02,18.43,23
Cape Town,-33.8,18.49,23
Cape Town,-33.82,18.66,22
Cape Town,-34.13,18.42,22
Cape Town,-34.13,18.84,22
Cape Town,-34.05,18.83,22
Cape Town,-33.81,18.49,22
Cape Town,-34.05,18.46,22
Cape Town,-33.72,18.44,22
Cape Town,-34.01,18.36,22
Cape Town,-33.99,18.5,21
Cape Town,-33.94,18.51,21
Cape Town,-34.01,18.47,21
Cape Town,-34.0,18.43,21
Cape Town,-33.93,18.52,21
Cape Town,-33.83,18.67,21
Cape Town,-34.08,18.85,20
Cape Town,-33.87,18.62,20
Cape Town,-33.87,18.65,20
Cape Town,-33.89,18.6,20
Cape Town,-33.89,18.58,20
Cape Town,-34.01,18.45,20
Cape Town,-33.97,18.5,20
Cape Town,-33.98,18.53,20
Cape Town,-34.0,18.45,20
Cape Town,-34.01,18.42,20
Cape Town,-33.9,18.65,20
Cape Town,-33.82,18.52,19
Cape Town,-34.07,18.87,19
Cape Town,-34.09,18.47,19
Cape Town,-34.05,18.35,19
Cape Town,-33.94,18.44,19
Cape Town,-34.02,18.39,19
Cape Town,-34.14,18.36,19
Cape Town,-33.86,18.65,19
Cape Town,-34.08,18.87,19
Cape Town,-34.07,18.83,19
Cape Town,-33.88,18.55,19
Cape Town,-33.85,18.65,19
Cape Town,-33.84,18.5,18
Cape Town,-33.9,18.63,18
Cape Town,-34.08,18.48,18
Cape Town,-33.87,18.61,18
Cape Town,-33.94,18.49,18
Cape Town,-33.83,18.69,18
Cape Town,-33.99,18.51,18
Cape Town,-34.03,18.47,17
Cape Town,-34.08,18.83,17
Cape Town,-33.85,18.66,17
Cape Town,-34.15,18.43,17
Cape Town,-33.92,18.53,17
Cape Town,-34.07,18.88,17
Cape Town,-33.99,18.44,17
Cape Town,-34.05,18.37,17
Cape Town,-34.01,18.4,17
Cape Town,-33.86,18.55,17
Cape Town,-34.12,18.39,17
Cape Town,-33.79,18.49,17
Cape Town,-33.7,18.44,16
Cape Town,-33.88,18.52,16
Cape Town,-33.86,18.64,16
Cape Town,-34.05,18.34,16
Cape Town,-34.09,18.82,16
Cape Town,-33.82,18.68,16
Cape Town,-33.87,18.49,16
Cape Town,-33.95,18.42,16
Cape Town,-34.05,18.85,16
Cape Town,-34.19,18.44,16
Cape Town,-34.03,18.42,16
Cape Town,-33.87,18.56,16
Cape Town,-33.89,18.63,16
Cape Town,-33.78,18.46,15
Cape Town,-34.13,18.41,15
Cape Town,-33.89,18.61,15
Cape Town,-33.89,18.7,15
Cape Town,-33.89,18.57,15
Cape Town,-33.98,18.5,15
Cape Town,-33.87,18.58,15
Cape Town,-34.07,18.42,15
Cape Town,-33.79,18.48,15
Cape Town,-33.93,18.48,15
Cape Town,-33.88,18.65,14
Cape Town,-34.16,18.89,14
Cape Town,-34.08,18.88,14
Cape Town,-33.71,18.44,14
Cape Town,-33.84,18.66,14
Cape Town,-34.08,18.47,14
Cape Town,-33.71,18.45,14
Cape Town,-33.84,18.51,14
Cape Town,-33.87,18.57,14
Cape Town,-34.12,18.37,14
Cape Town,-33.85,18.64,14
Cape Town,-33.82,18.65,14
Cape Town,-33.93,18.5,13
Cape Town,-34.14,18.86,13
Cape Town,-33.91,18.54,13
Cape Town,-33.98,18.51,13
Cape Town,-33.9,18.6,13
Cape Town,-34.1,18.83,13
Cape Town,-34.15,18.32,13
Cape Town,-33.85,18.69,13
Cape Town,-33.89,18.62,13
Cape Town,-34.05,18.45,13
Cape Town,-34.13,18.4,13
Cape Town,-34.03,18.44,13
Cape Town,-34.07,18.45,13
Cape Town,-33.88,18.51,12
Cape Town,-33.86,18.51,12
Cape Town,-34.11,18.84,12
Cape Town,-34.12,18.92,12
Cape Town,-34.19,18.42,12
Cape Town,-33.83,18.63,12
Cape Town,-34.09,18.85,12
Cape Town,-33.88,18.62,12
Cape Town,-33.86,18.56,12
Cape Town,-34.06,18.43,12
Cape Town,-33.86,18.69,12
Cape Town,-34.02,18.47,12
Cape Town,-33.84,18.65,12
Cape Town,-33.91,18.48,12
Cape Town,-34.07,18.41,12
Cape Town,-34.12,18.43,12
Cape Town,-34.08,18.44,12
Cape Town,-34.0,18.48,12
Cape Town,-34.06,18.45,11
