city,review_month,review_count,baseline_2019_avg,recovery_index
Bangkok,2021-02,276,8390.92,0.033
Cape Town,2010-06,3,7723.17,0.0
Cape Town,2010-07,2,7723.17,0.0
Cape Town,2010-12,1,7723.17,0.0
Cape Town,2011-03,1,7723.17,0.0
Cape Town,2011-06,1,7723.17,0.0
Cape Town,2011-07,2,7723.17,0.0
Cape Town,2011-08,2,7723.17,0.0
Cape Town,2011-10,4,7723.17,0.001
Cape Town,2011-11,8,7723.17,0.001
Cape Town,2011-12,8,7723.17,0.001
Cape Town,2012-01,12,7723.17,0.002
Cape Town,2012-02,11,7723.17,0.001
Cape Town,2012-03,20,7723.17,0.003
Cape Town,2012-04,9,7723.17,0.001
Cape Town,2012-05,4,7723.17,0.001
Cape Town,2012-06,6,7723.17,0.001
Cape Town,2012-07,10,7723.17,0.001
Cape Town,2012-08,11,7723.17,0.001
Cape Town,2012-09,7,7723.17,0.001
Cape Town,2012-10,20,7723.17,0.003
Cape Town,2012-11,27,7723.17,0.003
Cape Town,2012-12,37,7723.17,0.005
Cape Town,2013-01,47,7723.17,0.006
Cape Town,2013-02,45,7723.17,0.006
Cape Town,2013-03,47,7723.17,0.006
Cape Town,2013-04,27,7723.17,0.003
Cape Town,2013-05,31,7723.17,0.004
Cape Town,2013-06,19,7723.17,0.002
Cape Town,2013-07,25,7723.17,0.003
Cape Town,2013-08,33,7723.17,0.004
Cape Town,2013-09,41,7723.17,0.005
Cape Town,2013-10,69,7723.17,0.009
Cape Town,2013-11,119,7723.17,0.015
Cape Town,2013-12,117,7723.17,0.015
Cape Town,2014-01,219,7723.17,0.028
Cape Town,2014-02,189,7723.17,0.024
Cape Town,2014-03,208,7723.17,0.027
Cape Town,2014-04,191,7723.17,0.025
Cape Town,2014-05,103,7723.17,0.013
Cape Town,2014-06,90,7723.17,0.012
Cape Town,2014-07,117,7723.17,0.015
Cape Town,2014-08,146,7723.17,0.019
Cape Town,2014-09,176,7723.17,0.023
Cape Town,2014-10,282,7723.17,0.037
Cape Town,2014-11,445,7723.17,0.058
Cape Town,2014-12,448,7723.17,0.058
Cape Town,2015-01,693,7723.17,0.09
Cape Town,2015-02,666,7723.17,0.086
Cape Town,2015-03,772,7723.17,0.1
Cape Town,2015-04,648,7723.17,0.084
Cape Town,2015-05,403,7723.17,0.052
Cape Town,2015-06,328,7723.17,0.042
Cape Town,2015-07,387,7723.17,0.05
Cape Town,2015-08,507,7723.17,0.066
Cape Town,2015-09,563,7723.17,0.073
Cape Town,2015-10,878,7723.17,0.114
Cape Town,2015-11,1188,7723.17,0.154
Cape Town,2015-12,1418,7723.17,0.184
Cape Town,2016-01,1975,7723.17,0.256
Cape Town,2016-02,2009,7723.17,0.26
Cape Town,2016-03,2221,7723.17,0.288
Cape Town,2016-04,1722,7723.17,0.223
Cape Town,2016-05,1116,7723.17,0.145
Cape Town,2016-06,794,7723.17,0.103
Cape Town,2016-07,1033,7723.17,0.134
Cape Town,2016-08,1355,7723.17,0.175
Cape Town,2016-09,1555,7723.17,0.201
Cape Town,2016-10,2384,7723.17,0.309
Cape Town,2016-11,3055,7723.17,0.396
Cape Town,2016-12,3291,7723.17,0.426
Cape Town,2017-01,4593,7723.17,0.595
Cape Town,2017-02,4298,7723.17,0.557
Cape Town,2017-03,4814,7723.17,0.623
Cape Town,2017-04,4202,7723.17,0.544
Cape Town,2017-05,2511,7723.17,0.325
Cape Town,2017-06,1733,7723.17,0.224
Cape Town,2017-07,2194,7723.17,0.284
Cape Town,2017-08,2576,7723.17,0.334
Cape Town,2017-09,3039,7723.17,0.393
Cape Town,2017-10,3982,7723.17,0.516
Cape Town,2017-11,4778,7723.17,0.619
Cape Town,2017-12,5375,7723.17,0.696
Cape Town,2018-01,6471,7723.17,0.838
Cape Town,2018-02,6244,7723.17,0.808
Cape Town,2018-03,6352,7723.17,0.822
Cape Town,2018-04,4903,7723.17,0.635
Cape Town,2018-05,3078,7723.17,0.399
Cape Town,2018-06,2485,7723.17,0.322
Cape Town,2018-07,3058,7723.17,0.396
Cape Town,2018-08,3934,7723.17,0.509
Cape Town,2018-09,4343,7723.17,0.562
Cape Town,2018-10,5751,7723.17,0.745
Cape Town,2018-11,7142,7723.17,0.925
Cape Town,2018-12,7812,7723.17,1.012
Cape Town,2019-01,8874,7723.17,1.149
Cape Town,2019-02,9025,7723.17,1.169
Cape Town,2019-03,10181,7723.17,1.318
Cape Town,2019-04,8405,7723.17,1.088
Cape Town,2019-05,5036,7723.17,0.652
Cape Town,2019-06,4379,7723.17,0.567
Cape Town,2019-07,4715,7723.17,0.611
Cape Town,2019-08,6005,7723.17,0.778
Cape Town,2019-09,7264,7723.17,0.941
Cape Town,2019-10,7995,7723.17,1.035
Cape Town,2019-11,9642,7723.17,1.248
Cape Town,2019-12,11157,7723.17,1.445
Cape Town,2020-01,12741,7723.17,1.65
Cape Town,2020-02,13024,7723.17,1.686
Cape Town,2020-03,9454,7723.17,1.224
Cape Town,2020-04,535,7723.17,0.069
Cape Town,2020-05,415,7723.17,0.054
Cape Town,2020-06,803,7723.17,0.104
Cape Town,2020-07,1225,7723.17,0.159
Cape Town,2020-08,2207,7723.17,0.286
Cape Town,2020-09,3279,7723.17,0.425
Cape Town,2020-10,4051,7723.17,0.525
Cape Town,2020-11,4712,7723.17,0.61
Cape Town,2020-12,7410,7723.17,0.959
Cape Town,2021-01,6991,7723.17,0.905
Cape Town,2021-02,2742,7723.17,0.355
Hong Kong,2011-02,1,3214.0,0.0
Hong Kong,2011-03,3,3214.0,0.001
Hong Kong,2011-04,4,3214.0,0.001
Hong Kong,2011-05,4,3214.0,0.001
Hong Kong,2011-06,2,3214.0,0.001
Hong Kong,2011-07,12,3214.0,0.004
Hong Kong,2011-08,15,3214.0,0.005
Hong Kong,2011-09,18,3214.0,0.006
Hong Kong,2011-10,17,3214.0,0.005
Hong Kong,2011-11,19,3214.0,0.006
Hong Kong,2011-12,15,3214.0,0.005
Hong Kong,2012-01,17,3214.0,0.005
Hong Kong,2012-02,11,3214.0,0.003
Hong Kong,2012-03,14,3214.0,0.004
Hong Kong,2012-04,22,3214.0,0.007
Hong Kong,2012-05,12,3214.0,0.004
Hong Kong,2012-06,21,3214.0,0.007
Hong Kong,2012-07,18,3214.0,0.006
Hong Kong,2012-08,44,3214.0,0.014
Hong Kong,2012-09,31,3214.0,0.01
Hong Kong,2012-10,47,3214.0,0.015
Hong Kong,2012-11,49,3214.0,0.015
Hong Kong,2012-12,51,3214.0,0.016
Hong Kong,2013-01,57,3214.0,0.018
Hong Kong,2013-02,45,3214.0,0.014
Hong Kong,2013-03,54,3214.0,0.017
Hong Kong,2013-04,73,3214.0,0.023
Hong Kong,2013-05,74,3214.0,0.023
Hong Kong,2013-06,59,3214.0,0.018
Hong Kong,2013-07,83,3214.0,0.026
Hong Kong,2013-08,87,3214.0,0.027
Hong Kong,2013-09,85,3214.0,0.026
Hong Kong,2013-10,114,3214.0,0.035
Hong Kong,2013-11,125,3214.0,0.039
Hong Kong,2013-12,125,3214.0,0.039
Hong Kong,2014-01,134,3214.0,0.042
Hong Kong,2014-02,107,3214.0,0.033
Hong Kong,2014-03,155,3214.0,0.048
Hong Kong,2014-04,163,3214.0,0.051
Hong Kong,2014-05,129,3214.0,0.04
Hong Kong,2014-06,147,3214.0,0.046
Hong Kong,2014-07,182,3214.0,0.057
Hong Kong,2014-08,221,3214.0,0.069
Hong Kong,2014-09,202,3214.0,0.063
Hong Kong,2014-10,272,3214.0,0.085
Hong Kong,2014-11,260,3214.0,0.081
Hong Kong,2014-12,300,3214.0,0.093
Hong Kong,2015-01,345,3214.0,0.107
Hong Kong,2015-02,394,3214.0,0.123
Hong Kong,2015-03,380,3214.0,0.118
Hong Kong,2015-04,393,3214.0,0.122
Hong Kong,2015-05,420,3214.0,0.131
Hong Kong,2015-06,443,3214.0,0.138
Hong Kong,2015-07,463,3214.0,0.144
Hong Kong,2015-08,556,3214.0,0.173
Hong Kong,2015-09,549,3214.0,0.171
Hong Kong,2015-10,774,3214.0,0.241
Hong Kong,2015-11,700,3214.0,0.218
Hong Kong,2015-12,822,3214.0,0.256
Hong Kong,2016-01,1002,3214.0,0.312
Hong Kong,2016-02,825,3214.0,0.257
Hong Kong,2016-03,768,3214.0,0.239
Hong Kong,2016-04,921,3214.0,0.287
Hong Kong,2016-05,909,3214.0,0.283
Hong Kong,2016-06,800,3214.0,0.249
Hong Kong,2016-07,928,3214.0,0.289
Hong Kong,2016-08,1101,3214.0,0.343
Hong Kong,2016-09,1126,3214.0,0.35
Hong Kong,2016-10,1572,3214.0,0.489
Hong Kong,2016-11,1394,3214.0,0.434
Hong Kong,2016-12,1690,3214.0,0.526
Hong Kong,2017-01,1887,3214.0,0.587
Hong Kong,2017-02,1515,3214.0,0.471
Hong Kong,2017-03,1633,3214.0,0.508
Hong Kong,2017-04,1877,3214.0,0.584
Hong Kong,2017-05,1833,3214.0,0.57
Hong Kong,2017-06,1567,3214.0,0.488
Hong Kong,2017-07,2169,3214.0,0.675
Hong Kong,2017-08,2671,3214.0,0.831
Hong Kong,2017-09,1940,3214.0,0.604
Hong Kong,2017-10,2709,3214.0,0.843
Hong Kong,2017-11,2300,3214.0,0.716
Hong Kong,2017-12,2564,3214.0,0.798
Hong Kong,2018-01,2623,3214.0,0.816
Hong Kong,2018-02,2214,3214.0,0.689
Hong Kong,2018-03,2410,3214.0,0.75
Hong Kong,2018-04,2940,3214.0,0.915
Hong Kong,2018-05,2513,3214.0,0.782
Hong Kong,2018-06,2578,3214.0,0.802
Hong Kong,2018-07,3156,3214.0,0.982
Hong Kong,2018-08,3650,3214.0,1.136
Hong Kong,2018-09,2698,3214.0,0.839
Hong Kong,2018-10,3697,3214.0,1.15
Hong Kong,2018-11,3733,3214.0,1.161
Hong Kong,2018-12,3681,3214.0,1.145
Hong Kong,2019-01,4091,3214.0,1.273
Hong Kong,2019-02,3957,3214.0,1.231
Hong Kong,2019-03,4275,3214.0,1.33
Hong Kong,2019-04,4121,3214.0,1.282
Hong Kong,2019-05,4170,3214.0,1.297
Hong Kong,2019-06,3398,3214.0,1.057
Hong Kong,2019-07,3661,3214.0,1.139
Hong Kong,2019-08,2633,3214.0,0.819
Hong Kong,2019-09,1829,3214.0,0.569
Hong Kong,2019-10,2324,3214.0,0.723
Hong Kong,2019-11,2133,3214.0,0.664
Hong Kong,2019-12,1976,3214.0,0.615
Hong Kong,2020-01,2002,3214.0,0.623
Hong Kong,2020-02,811,3214.0,0.252
Hong Kong,2020-03,653,3214.0,0.203
Hong Kong,2020-04,662,3214.0,0.206
Hong Kong,2020-05,663,3214.0,0.206
Hong Kong,2020-06,704,3214.0,0.219
Hong Kong,2020-07,864,3214.0,0.269
Hong Kong,2020-08,859,3214.0,0.267
Hong Kong,2020-09,769,3214.0,0.239
Hong Kong,2020-10,951,3214.0,0.296
Hong Kong,2020-11,742,3214.0,0.231
Hong Kong,2020-12,1132,3214.0,0.352
Hong Kong,2021-01,889,3214.0,0.277
Hong Kong,2021-02,426,3214.0,0.133
Istanbul,2010-03,1,5335.83,0.0
Istanbul,2010-05,1,5335.83,0.0
Istanbul,2010-06,2,5335.83,0.0
Istanbul,2010-08,1,5335.83,0.0
Istanbul,2010-09,3,5335.83,0.001
Istanbul,2010-10,3,5335.83,0.001
Istanbul,2010-12,2,5335.83,0.0
Istanbul,2011-01,2,5335.83,0.0
Istanbul,2011-02,2,5335.83,0.0
Istanbul,2011-03,2,5335.83,0.0
Istanbul,2011-04,6,5335.83,0.001
Istanbul,2011-05,7,5335.83,0.001
Istanbul,2011-06,4,5335.83,0.001
Istanbul,2011-07,11,5335.83,0.002
Istanbul,2011-08,16,5335.83,0.003
Istanbul,2011-09,27,5335.83,0.005
Istanbul,2011-10,32,5335.83,0.006
Istanbul,2011-11,17,5335.83,0.003
Istanbul,2011-12,12,5335.83,0.002
Istanbul,2012-01,23,5335.83,0.004
Istanbul,2012-02,6,5335.83,0.001
Istanbul,2012-03,20,5335.83,0.004
Istanbul,2012-04,51,5335.83,0.01
Istanbul,2012-05,84,5335.83,0.016
Istanbul,2012-06,50,5335.83,0.009
Istanbul,2012-07,57,5335.83,0.011
Istanbul,2012-08,73,5335.83,0.014
Istanbul,2012-09,92,5335.83,0.017
Istanbul,2012-10,112,5335.83,0.021
Istanbul,2012-11,82,5335.83,0.015
Istanbul,2012-12,59,5335.83,0.011
Istanbul,2013-01,68,5335.83,0.013
Istanbul,2013-02,51,5335.83,0.01
Istanbul,2013-03,111,5335.83,0.021
Istanbul,2013-04,186,5335.83,0.035
Istanbul,2013-05,254,5335.83,0.048
Istanbul,2013-06,160,5335.83,0.03
Istanbul,2013-07,138,5335.83,0.026
Istanbul,2013-08,174,5335.83,0.033
Istanbul,2013-09,259,5335.83,0.049
Istanbul,2013-10,217,5335.83,0.041
Istanbul,2013-11,202,5335.83,0.038
Istanbul,2013-12,167,5335.83,0.031
Istanbul,2014-01,219,5335.83,0.041
Istanbul,2014-02,188,5335.83,0.035
Istanbul,2014-03,315,5335.83,0.059
Istanbul,2014-04,434,5335.83,0.081
Istanbul,2014-05,499,5335.83,0.094
Istanbul,2014-06,472,5335.83,0.088
Istanbul,2014-07,451,5335.83,0.085
Istanbul,2014-08,587,5335.83,0.11
Istanbul,2014-09,708,5335.83,0.133
Istanbul,2014-10,671,5335.83,0.126
Istanbul,2014-11,526,5335.83,0.099
Istanbul,2014-12,399,5335.83,0.075
Istanbul,2015-01,492,5335.83,0.092
Istanbul,2015-02,357,5335.83,0.067
Istanbul,2015-03,668,5335.83,0.125
Istanbul,2015-04,1051,5335.83,0.197
Istanbul,2015-05,1311,5335.83,0.246
Istanbul,2015-06,1096,5335.83,0.205
Istanbul,2015-07,1125,5335.83,0.211
Istanbul,2015-08,1313,5335.83,0.246
Istanbul,2015-09,1398,5335.83,0.262
Istanbul,2015-10,1352,5335.83,0.253
Istanbul,2015-11,874,5335.83,0.164
Istanbul,2015-12,749,5335.83,0.14
Istanbul,2016-01,811,5335.83,0.152
Istanbul,2016-02,592,5335.83,0.111
Istanbul,2016-03,734,5335.83,0.138
Istanbul,2016-04,740,5335.83,0.139
Istanbul,2016-05,1077,5335.83,0.202
Istanbul,2016-06,856,5335.83,0.16
Istanbul,2016-07,615,5335.83,0.115
Istanbul,2016-08,605,5335.83,0.113
Istanbul,2016-09,699,5335.83,0.131
Istanbul,2016-10,813,5335.83,0.152
Istanbul,2016-11,692,5335.83,0.13
Istanbul,2016-12,676,5335.83,0.127
Istanbul,2017-01,618,5335.83,0.116
Istanbul,2017-02,489,5335.83,0.092
Istanbul,2017-03,653,5335.83,0.122
Istanbul,2017-04,975,5335.83,0.183
Istanbul,2017-05,1165,5335.83,0.218
Istanbul,2017-06,1061,5335.83,0.199
Istanbul,2017-07,1334,5335.83,0.25
Istanbul,2017-08,1443,5335.83,0.27
Istanbul,2017-09,1526,5335.83,0.286
Istanbul,2017-10,1514,5335.83,0.284
Istanbul,2017-11,1213,5335.83,0.227
Istanbul,2017-12,1186,5335.83,0.222
Istanbul,2018-01,1508,5335.83,0.283
Istanbul,2018-02,1345,5335.83,0.252
Istanbul,2018-03,1780,5335.83,0.334
Istanbul,2018-04,2289,5335.83,0.429
Istanbul,2018-05,2474,5335.83,0.464
Istanbul,2018-06,2180,5335.83,0.409
Istanbul,2018-07,2841,5335.83,0.532
Istanbul,2018-08,3346,5335.83,0.627
Istanbul,2018-09,3653,5335.83,0.685
Istanbul,2018-10,3875,5335.83,0.726
Istanbul,2018-11,3278,5335.83,0.614
Istanbul,2018-12,2976,5335.83,0.558
Istanbul,2019-01,3259,5335.83,0.611
Istanbul,2019-02,2857,5335.83,0.535
Istanbul,2019-03,3867,5335.83,0.725
Istanbul,2019-04,5090,5335.83,0.954
Istanbul,2019-05,4969,5335.83,0.931
Istanbul,2019-06,5420,5335.83,1.016
Istanbul,2019-07,5942,5335.83,1.114
Istanbul,2019-08,7154,5335.83,1.341
Istanbul,2019-09,7358,5335.83,1.379
Istanbul,2019-10,7059,5335.83,1.323
Istanbul,2019-11,5657,5335.83,1.06
Istanbul,2019-12,5398,5335.83,1.012
Istanbul,2020-01,6223,5335.83,1.166
Istanbul,2020-02,5332,5335.83,0.999
Istanbul,2020-03,3938,5335.83,0.738
Istanbul,2020-04,422,5335.83,0.079
Istanbul,2020-05,419,5335.83,0.079
Istanbul,2020-06,1112,5335.83,0.208
Istanbul,2020-07,2565,5335.83,0.481
Istanbul,2020-08,4961,5335.83,0.93
Istanbul,2020-09,6023,5335.83,1.129
Istanbul,2020-10,6529,5335.83,1.224
Istanbul,2020-11,5810,5335.83,1.089
Istanbul,2020-12,4608,5335.83,0.864
Istanbul,2021-01,4769,5335.83,0.894
Istanbul,2021-02,3537,5335.83,0.663
Istanbul,2021-03,1,5335.83,0.0
Mexico City,2011-04,1,14273.5,0.0
Mexico City,2011-05,2,14273.5,0.0
Mexico City,2011-07,2,14273.5,0.0
Mexico City,2011-08,1,14273.5,0.0
Mexico City,2011-09,4,14273.5,0.0
Mexico City,2011-10,7,14273.5,0.0
Mexico City,2011-11,19,14273.5,0.001
Mexico City,2011-12,24,14273.5,0.002
Mexico City,2012-01,21,14273.5,0.001
Mexico City,2012-02,10,14273.5,0.001
Mexico City,2012-03,23,14273.5,0.002
Mexico City,2012-04,29,14273.5,0.002
Mexico City,2012-05,16,14273.5,0.001
Mexico City,2012-06,24,14273.5,0.002
Mexico City,2012-07,24,14273.5,0.002
Mexico City,2012-08,31,14273.5,0.002
Mexico City,2012-09,30,14273.5,0.002
Mexico City,2012-10,35,14273.5,0.002
Mexico City,2012-11,43,14273.5,0.003
Mexico City,2012-12,59,14273.5,0.004
Mexico City,2013-01,84,14273.5,0.006
Mexico City,2013-02,53,14273.5,0.004
Mexico City,2013-03,80,14273.5,0.006
Mexico City,2013-04,69,14273.5,0.005
Mexico City,2013-05,53,14273.5,0.004
Mexico City,2013-06,58,14273.5,0.004
Mexico City,2013-07,57,14273.5,0.004
Mexico City,2013-08,76,14273.5,0.005
Mexico City,2013-09,80,14273.5,0.006
Mexico City,2013-10,89,14273.5,0.006
Mexico City,2013-11,107,14273.5,0.007
Mexico City,2013-12,134,14273.5,0.009
Mexico City,2014-01,151,14273.5,0.011
Mexico City,2014-02,144,14273.5,0.01
Mexico City,2014-03,165,14273.5,0.012
Mexico City,2014-04,152,14273.5,0.011
Mexico City,2014-05,156,14273.5,0.011
Mexico City,2014-06,149,14273.5,0.01
Mexico City,2014-07,196,14273.5,0.014
Mexico City,2014-08,256,14273.5,0.018
Mexico City,2014-09,209,14273.5,0.015
Mexico City,2014-10,237,14273.5,0.017
Mexico City,2014-11,295,14273.5,0.021
Mexico City,2014-12,277,14273.5,0.019
Mexico City,2015-01,366,14273.5,0.026
Mexico City,2015-02,296,14273.5,0.021
Mexico City,2015-03,425,14273.5,0.03
Mexico City,2015-04,386,14273.5,0.027
Mexico City,2015-05,427,14273.5,0.03
Mexico City,2015-06,444,14273.5,0.031
Mexico City,2015-07,539,14273.5,0.038
Mexico City,2015-08,607,14273.5,0.043
Mexico City,2015-09,611,14273.5,0.043
Mexico City,2015-10,753,14273.5,0.053
Mexico City,2015-11,940,14273.5,0.066
Mexico City,2015-12,982,14273.5,0.069
Mexico City,2016-01,1101,14273.5,0.077
Mexico City,2016-02,1161,14273.5,0.081
Mexico City,2016-03,1415,14273.5,0.099
Mexico City,2016-04,1372,14273.5,0.096
Mexico City,2016-05,1346,14273.5,0.094
Mexico City,2016-06,1254,14273.5,0.088
Mexico City,2016-07,1641,14273.5,0.115
Mexico City,2016-08,1686,14273.5,0.118
Mexico City,2016-09,1730,14273.5,0.121
Mexico City,2016-10,2453,14273.5,0.172
Mexico City,2016-11,3101,14273.5,0.217
Mexico City,2016-12,2463,14273.5,0.173
Mexico City,2017-01,2984,14273.5,0.209
Mexico City,2017-02,3147,14273.5,0.22
Mexico City,2017-03,3987,14273.5,0.279
Mexico City,2017-04,3783,14273.5,0.265
Mexico City,2017-05,3508,14273.5,0.246
Mexico City,2017-06,3578,14273.5,0.251
Mexico City,2017-07,4205,14273.5,0.295
Mexico City,2017-08,4271,14273.5,0.299
Mexico City,2017-09,4023,14273.5,0.282
Mexico City,2017-10,4801,14273.5,0.336
Mexico City,2017-11,5600,14273.5,0.392
Mexico City,2017-12,5180,14273.5,0.363
Mexico City,2018-01,5809,14273.5,0.407
Mexico City,2018-02,6844,14273.5,0.479
Mexico City,2018-03,7890,14273.5,0.553
Mexico City,2018-04,7137,14273.5,0.5
Mexico City,2018-05,7506,14273.5,0.526
Mexico City,2018-06,7086,14273.5,0.496
Mexico City,2018-07,8121,14273.5,0.569
Mexico City,2018-08,8461,14273.5,0.593
Mexico City,2018-09,8533,14273.5,0.598
Mexico City,2018-10,10659,14273.5,0.747
Mexico City,2018-11,11912,14273.5,0.835
Mexico City,2018-12,10085,14273.5,0.707
Mexico City,2019-01,10831,14273.5,0.759
Mexico City,2019-02,11515,14273.5,0.807
Mexico City,2019-03,13839,14273.5,0.97
Mexico City,2019-04,12387,14273.5,0.868
Mexico City,2019-05,12101,14273.5,0.848
Mexico City,2019-06,12253,14273.5,0.858
Mexico City,2019-07,13961,14273.5,0.978
Mexico City,2019-08,14073,14273.5,0.986
Mexico City,2019-09,14916,14273.5,1.045
Mexico City,2019-10,17445,14273.5,1.222
Mexico City,2019-11,20578,14273.5,1.442
Mexico City,2019-12,17383,14273.5,1.218
Mexico City,2020-01,17144,14273.5,1.201
Mexico City,2020-02,18815,14273.5,1.318
Mexico City,2020-03,15623,14273.5,1.095
Mexico City,2020-04,2484,14273.5,0.174
Mexico City,2020-05,685,14273.5,0.048
Mexico City,2020-06,3243,14273.5,0.227
Mexico City,2020-07,5473,14273.5,0.383
Mexico City,2020-08,7591,14273.5,0.532
Mexico City,2020-09,8598,14273.5,0.602
Mexico City,2020-10,9783,14273.5,0.685
Mexico City,2020-11,11674,14273.5,0.818
Mexico City,2020-12,10317,14273.5,0.723
Mexico City,2021-01,9234,14273.5,0.647
Mexico City,2021-02,5297,14273.5,0.371
New York,2009-04,1,20872.42,0.0
New York,2009-05,6,20872.42,0.0
New York,2009-06,4,20872.42,0.0
New York,2009-07,8,20872.42,0.0
New York,2009-08,7,20872.42,0.0
New York,2009-09,7,20872.42,0.0
New York,2009-10,15,20872.42,0.001
New York,2009-11,23,20872.42,0.001
New York,2009-12,22,20872.42,0.001
