ProductID,ProductName,CategoryName,Class,NetRevenue,GrossRevenueEstimate,UnitsSold,RevenuePerUnit,RevenueRankDesc,RevenueRankAsc
419,Pork - Belly Fresh,Cereals,Low,16342303.69,16853628.38,195668,83.52,53,400
85,Cheese - Parmesan Cubes,Meat,High,16331088.30,16821158.41,193601,84.35,54,399
20,Chocolate - Feathers,Cereals,Low,16290653.98,16806292.51,195647,83.27,55,398
179,Yoghurt Tubes,Seafood,Low,16270010.65,16751890.44,199724,81.46,56,397
424,Vinegar - Tarragon,Cereals,Medium,16239406.89,16744655.40,194971,83.29,57,396
349,Puree - Mocha,Dairy,Medium,16229659.60,16731817.49,192522,84.30,58,395
358,"Cheese - Boursin, Garlic / Herbs",Poultry,Medium,16220642.38,16737049.72,197578,82.10,59,394
236,Tomato - Tricolor Cherry,Confections,Low,16210459.76,16691477.32,194780,83.22,60,393
46,Lambcasing,Poultry,High,16192065.26,16703978.88,192461,84.13,61,392
218,Barramundi,Grain,High,16187417.07,16685874.54,195859,82.65,62,391
416,Baking Powder,Snails,Low,16158778.33,16667682.89,196840,82.09,63,390
68,"Beets - Candy Cane, Organic",Seafood,High,15970734.57,16460092.34,193929,82.35,64,389
137,"Wine - White, Schroder And Schyl",Snails,Low,15966971.45,16454920.02,195760,81.56,65,388
337,Bread - Rye,Cereals,Low,15827970.95,16331208.00,195496,80.96,66,387
257,"Pasta - Detalini, White, Fresh",Produce,High,15809461.84,16303457.92,193082,81.88,67,386
350,Isomalt,Grain,Low,15804162.79,16297630.80,196760,80.32,68,385
437,Chips Potato All Dressed - 43g,Snails,High,15797561.38,16299944.27,195009,81.01,69,384
375,Snapple Lemon Tea,Grain,High,15797381.32,16278942.51,195718,80.72,70,383
414,Sauerkraut,Meat,Low,15765882.07,16219082.47,195273,80.74,71,382
312,Salmon - Sockeye Raw,Confections,Low,15757966.18,16246221.21,193259,81.54,72,381
426,Scallops - Live In Shell,Cereals,Low,15721537.77,16209712.96,193952,81.06,73,380
9,Rabbit - Whole,Produce,Medium,15706095.10,16191445.04,191792,81.89,74,379
230,"Wine - Cahors Ac 2000, Clos",Produce,Medium,15619309.90,16109474.40,192838,81.00,75,378
101,"Soup - Campbells, Lentil",Dairy,Medium,15553040.57,16023281.29,193026,80.57,76,377
371,Creme De Banane - Marie,Grain,High,15530408.56,16008934.61,194278,79.94,77,376
186,Muffin Mix - Blueberry,Grain,Low,15488025.30,15950953.87,194325,79.70,78,375
297,Hinge W Undercut,Cereals,Low,15483505.61,15963678.87,194916,79.44,79,374
112,Browning Caramel Glace,Snails,High,15430151.16,15912263.12,194540,79.32,80,373
221,Bread Crumbs - Panko,Cereals,Low,15429545.60,15895716.77,194085,79.50,81,372
210,"Cheese - Brie,danish",Cereals,High,15387699.74,15861970.05,192884,79.78,82,371
38,Sage - Ground,Seafood,High,15359426.37,15838529.60,193962,79.19,83,370
176,Smirnoff Green Apple Twist,Seafood,High,15315284.86,15786986.77,194142,78.89,84,369
42,Bread - Raisin Walnut Oval,Confections,High,15286484.49,15757102.45,194415,78.63,85,368
51,Wine - Crozes Hermitage E.,Produce,Medium,15234821.01,15694644.97,193729,78.64,86,367
41,"Cup - 6oz, Foam",Meat,Medium,15203620.00,15676375.99,191828,79.26,87,366
366,Tahini Paste,Dairy,High,15170570.35,15638827.73,194396,78.04,88,365
25,Soupcontfoam16oz 116con,Snails,High,15140490.68,15601361.06,193166,78.38,89,364
294,Wine - Alsace Gewurztraminer,Snails,Low,15114186.92,15584608.24,193086,78.28,90,363
6,Wine - Magnotta - Cab Sauv,Grain,High,15112870.78,15580881.56,195449,77.32,91,362
310,Coffee - Dark Roast,Poultry,Low,15083354.94,15540605.16,194311,77.62,92,361
299,Fuji Apples,Dairy,Medium,14989949.08,15450673.29,192803,77.75,93,360
45,Beef - Ground Medium,Dairy,Medium,14988190.96,15451793.27,194283,77.15,94,359
114,Veal - Osso Bucco,Grain,High,14926487.14,15390901.04,193441,77.16,95,358
319,Towels - Paper / Kraft,Meat,High,14914780.97,15369049.10,198005,75.33,96,357
23,Crab - Imitation Flakes,Produce,Medium,14893561.87,15364179.66,194438,76.60,97,356
37,"Nut - Pistachio, Shelled",Meat,Low,14842222.59,15297596.45,190465,77.93,98,355
108,Pasta - Orecchiette,Confections,High,14837806.38,15303510.08,193706,76.60,99,354
288,"Orange - Canned, Mandarin",Produce,Low,14823669.65,15278342.81,193788,76.49,100,353
202,Bay Leaf,Produce,Low,14808857.35,15262933.18,193501,76.53,101,352
204,Scallop - St. Jaques,Poultry,Medium,14804648.40,15260212.32,196124,75.49,102,351
167,Knife Plastic - White,Produce,Medium,14775837.63,15242271.86,193279,76.45,103,350
254,"Soup - Canadian Pea, Dry Mix",Confections,Low,14706990.26,15171144.80,195051,75.40,104,349
206,Cocoa Butter,Cereals,Low,14661531.33,15103724.16,194736,75.29,105,348
273,Bandage - Flexible Neon,Dairy,Medium,14648321.86,15088714.56,194464,75.33,106,347
188,Cup - Translucent 7 Oz Clear,Grain,High,14616943.01,15072330.69,192798,75.81,107,346
448,Gatorade - Xfactor Berry,Beverages,Low,14555458.69,14995342.90,195001,74.64,108,345
228,Sauce - Hollandaise,Cereals,High,14533392.19,14989613.38,192648,75.44,109,344
249,Cookie Dough - Double,Snails,Medium,14468372.70,14913489.50,194642,74.33,110,343
253,Wanton Wrap,Meat,High,14464573.01,14915441.12,195638,73.94,111,342
39,Dried Figs,Produce,Medium,14446429.18,14893174.79,198032,72.95,112,341
189,"Bread - Roll, Soft White Round",Beverages,High,14369478.53,14816952.19,194188,74.00,113,340
377,"Wine - Red, Cooking",Confections,Medium,14336952.82,14791966.07,197020,72.77,114,339
402,Butter - Unsalted,Beverages,High,14280501.25,14716399.96,192806,74.07,115,338
146,Bananas,Meat,High,14166278.86,14597852.16,193995,73.02,116,337
71,Cheese - Wine,Seafood,Low,14046450.95,14475998.58,194550,72.20,117,336
59,Pastry - Butterscotch Baked,Snails,High,14000093.10,14419581.05,196081,71.40,118,335
103,Cream Of Tartar,Meat,Low,13987408.63,14414340.13,198126,70.60,119,334
442,Wine - Ej Gallo Sierra Valley,Seafood,Medium,13920994.15,14342277.78,196728,70.76,120,333
1,Flour - Whole Wheat,Cereals,Medium,13784693.51,14208531.02,191235,72.08,121,332
31,Yeast Dry - Fermipan,Shell fish,Medium,13773317.77,14197074.82,191891,71.78,122,331
303,Cod - Black Whole Fillet,Meat,High,13750221.50,14170195.04,195146,70.46,123,330
304,Banana Turning,Beverages,High,13721970.15,14145327.12,195923,70.04,124,329
271,Banana - Leaves,Beverages,High,13686062.26,14104394.02,192170,71.22,125,328
234,Tofu - Firm,Confections,Medium,13682324.06,14091496.80,193709,70.63,126,327
320,Yogurt - French Vanilla,Poultry,Low,13654514.67,14072128.95,191615,71.26,127,326
285,Cheese - Mix,Meat,Low,13601816.95,14014072.02,195100,69.72,128,325
441,Blackberries,Cereals,Medium,13578390.27,14000706.28,191938,70.74,129,324
336,Broom - Corn,Shell fish,Low,13516919.08,13939537.90,193809,69.74,130,323
153,Arizona - Green Tea,Dairy,Low,13415032.63,13837065.88,197002,68.10,131,322
213,Pate - Cognac,Snails,High,13311127.77,13728944.65,194491,68.44,132,321
420,Whmis - Spray Bottle Trigger,Poultry,High,13299059.09,13692548.02,195842,67.91,133,320
240,Wine - Chablis 2003 Champs,Dairy,Low,13291779.99,13706230.71,193428,68.72,134,319
407,"Pepsi - Diet, 355 Ml",Meat,High,13287696.68,13697224.34,196327,67.68,135,318
156,Sprouts - Alfalfa,Confections,High,13263637.76,13669058.42,191910,69.11,136,317
36,Table Cloth 54x72 White,Poultry,Low,13259827.88,13690179.52,197671,67.08,137,316
90,Flavouring - Orange,Poultry,High,13251294.38,13656247.96,197003,67.26,138,315
434,Cookie - Dough Variety,Meat,Low,13228800.42,13644844.29,191762,68.99,139,314
168,Milk - 2%,Seafood,Medium,13187252.25,13589801.96,192104,68.65,140,313
342,Mangoes,Confections,Medium,13155776.44,13568983.62,194990,67.47,141,312
100,"Pork - Loin, Bone - In",Poultry,Low,13138376.96,13550775.21,194555,67.53,142,311
359,Rice - Long Grain,Produce,High,13101957.75,13506661.95,195656,66.96,143,310
105,Ecolab - Mikroklene 4/4 L,Confections,Medium,13094154.41,13501022.07,196011,66.80,144,309
266,Clam Nectar,Meat,High,13068603.18,13469306.16,197759,66.08,145,308
177,"Coconut - Shredded, Sweet",Cereals,Medium,13041203.25,13438799.94,194293,67.12,146,307
300,"Beans - Kidney, Canned",Beverages,Medium,13026424.91,13422650.47,192939,67.52,147,306
169,Water - Aquafina Vitamin,Snails,Medium,13025486.25,13436192.05,195864,66.50,148,305
117,Ketchup - Tomato,Produce,High,13008761.09,13427514.66,195628,66.50,149,304
408,Blueberries,Dairy,Low,12987437.04,13381939.27,194690,66.71,150,303
231,Crush - Cream Soda,Beverages,Medium,12949715.50,13349636.98,195437,66.26,151,302
331,Cookies Cereal Nut,Cereals,High,12883685.93,13291149.72,197343,65.29,152,301
436,Table Cloth 81x81 White,Meat,High,12861881.03,13264884.55,195341,65.84,153,300
140,"Oregano - Dry, Rubbed",Produce,High,12845686.34,13234144.36,194241,66.13,154,299
30,"Cheese - Brie, Triple Creme",Seafood,Low,12835246.73,13243496.25,195047,65.81,155,298
272,"Chocolate - Semi Sweet, Calets",Shell fish,Low,12817933.80,13215702.44,194025,66.06,156,297
241,Cheese - Cheddarsliced,Poultry,Medium,12816016.33,13199056.36,194633,65.85,157,296
259,Veal - Eye Of Round,Meat,High,12781217.06,13184481.78,195509,65.37,158,295
129,Chicken - Soup Base,Meat,High,12640981.95,13031484.08,193826,65.22,159,294
403,Liners - Baking Cups,Beverages,Medium,12588880.38,12981292.23,190370,66.13,160,293
194,Lettuce - Frisee,Seafood,Medium,12556942.60,12937115.86,193856,64.77,161,292
316,Cheese - Victor Et Berthold,Produce,High,12526263.06,12908646.22,195765,63.99,162,291
161,Longos - Chicken Wings,Snails,Low,12508592.49,12901619.61,199679,62.64,163,290
118,Garbag Bags - Black,Poultry,High,12427754.01,12805184.20,194115,64.02,164,289
76,Wine - Fume Blanc Fetzer,Seafood,Low,12404760.59,12792271.64,194777,63.69,165,288
237,Mayonnaise - Individual Pkg,Grain,Low,12383190.63,12767652.93,194539,63.65,166,287
5,Artichokes - Jerusalem,Shell fish,Low,12327694.45,12711003.95,194129,63.50,167,286
250,"Soup - Campbells, Beef Barley",Confections,Low,12282279.16,12656131.45,196234,62.59,168,285
181,Phyllo Dough,Confections,Medium,12240320.81,12623205.75,195491,62.61,169,284
391,Bread - Bistro White,Confections,Medium,12206881.29,12590187.99,193425,63.11,170,283
344,Sausage - Liver,Shell fish,Low,12106308.06,12459469.98,196092,61.74,171,282
404,Pants Custom Dry Clean,Confections,Medium,12076291.35,12442847.69,191346,63.11,172,281
367,Bread - Italian Corn Meal Poly,Beverages,Medium,11992553.20,12364907.19,193722,61.91,173,280
155,"Peas - Pigeon, Dry",Poultry,High,11963720.23,12327513.24,193974,61.68,174,279
280,Onion Powder,Beverages,Medium,11881268.85,12253448.74,198163,59.96,175,278
61,Sardines,Grain,Low,11870386.43,12244067.51,195761,60.64,176,277
70,Squid - Tubes / Tenticles 10/20,Dairy,Low,11860065.34,12222302.65,193438,61.31,177,276
96,Cheese - Bocconcini,Meat,High,11829827.93,12198091.32,196113,60.32,178,275
102,"Rosemary - Primerba, Paste",Dairy,High,11779167.59,12150200.63,195162,60.36,179,274
72,Bar - Granola Trail Mix Fruit Nut,Dairy,High,11708093.00,12054465.72,193614,60.47,180,273
389,Pomello,Cereals,Medium,11677926.97,12035154.37,192733,60.59,181,272
214,French Pastry - Mini Chocolate,Beverages,Low,11675100.14,12032890.98,196577,59.39,182,271
212,Curry Paste - Madras,Shell fish,High,11577862.79,11928401.01,193185,59.93,183,270
302,"Doilies - 5, Paper",Produce,Medium,11561581.32,11931298.42,195084,59.26,184,269
174,Guinea Fowl,Produce,High,11530200.00,11889412.05,193309,59.65,185,268
293,Garlic - Elephant,Produce,Medium,11474565.14,11834421.09,194103,59.12,186,267
332,Bouq All Italian - Primerba,Beverages,Low,11445250.09,11808977.89,197614,57.92,187,266
92,"Wine - Red, Colio Cabernet",Confections,Low,11415063.71,11768152.86,195432,58.41,188,265
48,Pecan Raisin - Tarts,Meat,Low,11369234.62,11719983.00,194160,58.56,189,264
49,Bacardi Breezer - Tropical,Grain,High,11365890.41,11704704.66,190532,59.65,190,263
193,"Veal - Inside, Choice",Produce,Medium,11329250.52,11683165.51,193010,58.70,191,262
355,Olives - Stuffed,Beverages,Low,11270453.98,11594698.45,195960,57.51,192,261
393,Olive - Spread Tapenade,Confections,Low,11268014.41,11609632.55,193632,58.19,193,260
203,"Chicken - Leg, Boneless",Confections,High,11254704.14,11593933.49,193375,58.20,194,259
445,Pastry - Choclate Baked,Grain,High,11239762.55,11592683.30,195668,57.44,195,258
219,Assorted Desserts,Beverages,Low,11168920.27,11518186.24,195294,57.19,196,257
247,Juice - Apple Cider,Poultry,High,11164639.83,11506705.56,195018,57.25,197,256
152,"Lentils - Red, Dry",Meat,Medium,11139056.10,11483434.45,195254,57.05,198,255
429,Beef - Short Loin,Dairy,High,11045193.28,11389217.04,197725,55.86,199,254
229,Bread - Hot Dog Buns,Poultry,Medium,11030571.39,11365404.64,196010,56.28,200,253
287,Bread - Italian Roll With Herbs,Meat,Medium,10951015.65,11288861.45,195617,55.98,201,252
425,Wine - Redchard Merritt,Dairy,Medium,10913307.22,11242619.92,197969,55.13,202,251
82,Jolt Cola - Electric Blue,Beverages,Low,10812935.04,11159168.66,196430,55.05,203,250
91,General Purpose Trigger,Seafood,High,10796897.57,11127700.76,195076,55.35,204,249
233,Duck - Breast,Produce,Low,10794429.20,11142710.02,196795,54.85,205,248
439,"Beef - Chuck, Boneless",Produce,Medium,10747219.26,11082861.97,197584,54.39,206,247
318,Ecolab - Solid Fusion,Snails,High,10657125.29,10993882.96,191996,55.51,207,246
63,Cake - Mini Cheesecake,Poultry,Low,10599907.25,10926238.73,194179,54.59,208,245
282,"Lemonade - Natural, 591 Ml",Snails,Low,10587543.76,10911296.89,194322,54.48,209,244
423,"Fish - Scallops, Cold Smoked",Shell fish,Medium,10551376.68,10875603.93,194718,54.19,210,243
277,Sea Bass - Whole,Poultry,Medium,10548722.41,10872466.21,195913,53.84,211,242
384,Fond - Neutral,Snails,High,10530507.47,10855738.78,192070,54.83,212,241
348,Pasta - Cheese / Spinach Bauletti,Snails,Low,10514705.94,10823672.13,195485,53.79,213,240
373,Beef - Montreal Smoked Brisket,Poultry,Medium,10513708.45,10839011.02,197533,53.23,214,239
52,"Turnip - White, Organic",Confections,Low,10444094.76,10769194.65,193670,53.93,215,238
227,Cheese - Taleggio D.o.p.,Beverages,Low,10422666.63,10758886.33,193959,53.74,216,237
323,Extract - Lemon,Snails,High,10364602.59,10686694.14,196712,52.69,217,236
16,Kellogs Special K Cereal,Shell fish,Low,10361796.55,10683008.06,195214,53.08,218,235
160,Beef Ground Medium,Meat,Medium,10302302.26,10624285.26,194273,53.03,219,234
4,"Sauce - Gravy, Au Jus, Mix",Poultry,Medium,10289094.74,10602171.38,195232,52.70,220,233
158,Apricots Fresh,Dairy,High,10187313.12,10495706.32,192708,52.86,221,232
127,Island Oasis - Mango Daiquiri,Grain,Medium,10173940.73,10476124.98,193496,52.58,222,231
401,"Tart Shells - Sweet, 4",Grain,High,10104391.81,10424006.56,195340,51.73,223,230
54,"Liners - Banana, Paper",Poultry,Medium,10075390.67,10385343.12,193904,51.96,224,229
362,Cumin - Whole,Meat,Medium,9957863.02,10262104.38,192363,51.77,225,228
138,"Rum - Coconut, Malibu",Meat,Low,9914727.77,10223047.24,194219,51.05,226,227
178,Pernod,Snails,High,9821884.60,10120899.52,193286,50.82,227,226
360,Wine - Hardys Bankside Shiraz,Snails,Medium,9776058.17,10079372.90,192941,50.67,228,225
382,Soup - Campbells Bean Medley,Dairy,Medium,9765953.61,10055145.11,194207,50.29,229,224
83,Lamb - Ground,Confections,High,9682867.90,9988724.73,196305,49.33,230,223
343,Otomegusa Dashi Konbu,Confections,High,9648171.43,9952366.39,194359,49.64,231,222
399,Berry Brulee,Seafood,Medium,9619408.65,9921409.99,194876,49.36,232,221
422,"Garlic - Primerba, Paste",Beverages,High,9516924.34,9804985.90,194972,48.81,233,220
263,Soupfoamcont12oz 112con,Meat,Low,9510153.76,9801644.81,193137,49.24,234,219
307,Foam Cup 6 Oz,Confections,High,9506239.49,9793841.32,194997,48.75,235,218
275,Corn Meal,Confections,Medium,9488575.97,9783083.43,195092,48.64,236,217
12,Ezy Change Mophandle,Dairy,Medium,9409009.35,9698194.91,196576,47.86,237,216
147,Cheese - Mozzarella,Beverages,High,9402625.51,9705216.36,195592,48.07,238,215
374,Jagermeister,Beverages,Low,9375700.88,9675085.14,195913,47.86,239,214
264,Juice - V8 Splash,Cereals,High,9364942.43,9664301.02,195437,47.92,240,213
394,Rum - Mount Gay Eclipes,Cereals,High,9358453.70,9649705.57,192423,48.63,241,212
446,Sunflower Seed Raw,Meat,High,9231704.43,9515210.21,194009,47.58,242,211
246,Ice Cream Bar - Hageen Daz To,Poultry,Low,9220602.59,9509825.47,195929,47.06,243,210
44,"Wine - White, Colubia Cresh",Meat,High,9194133.60,9484891.18,195170,47.11,244,209
363,Cornflakes,Produce,High,9167234.71,9452346.27,193810,47.30,245,208
73,Appetizer - Sausage Rolls,Produce,Low,9166584.36,9443449.57,195960,46.78,246,207
276,Snapple - Iced Tea Peach,Beverages,High,9120450.30,9402765.73,190916,47.77,247,206
109,Muffin - Zero Transfat,Confections,Medium,9095704.29,9377387.36,189906,47.90,248,205
185,Foam Dinner Plate,Seafood,Low,9082360.34,9362200.84,193356,46.97,249,204
47,"Thyme - Lemon, Fresh",Poultry,High,9074359.83,9359237.12,198567,45.70,250,203
123,Oil - Shortening - All - Purpose,Dairy,Low,9048628.52,9326210.60,193696,46.72,251,202
295,"Ice - Clear, 300 Lb For Carving",Meat,Low,9027819.68,9315657.27,191014,47.26,252,201
95,Beans - Kidney White,Confections,High,8863572.81,9136070.67,196935,45.01,253,200
56,Chips Potato Salt Vinegar 43g,Poultry,Low,8845768.27,9121682.29,196574,45.00,254,199
21,Kiwi,Meat,High,8826077.22,9102629.66,194812,45.31,255,198
430,Milk - 1%,Shell fish,Low,8713997.16,8986762.76,194271,44.85,256,197
427,Wine - Vineland Estate Semi - Dry,Cereals,High,8585342.77,8846816.09,190972,44.96,257,196
115,Ocean Spray - Ruby Red,Produce,Low,8573949.12,8831385.93,196050,43.73,258,195
33,Beans - Wax,Snails,Medium,8531850.68,8799468.67,193161,44.17,259,194
173,Rosemary - Dry,Grain,Low,8424058.83,8690578.94,195101,43.18,260,193
438,Juice - Orange,Shell fish,Low,8406424.42,8671417.48,192949,43.57,261,192
243,Sun - Dried Tomatoes,Seafood,Medium,8374761.20,8637562.79,191146,43.81,262,191
94,V8 - Berry Blend,Poultry,High,8333929.85,8591314.23,197452,42.21,263,190
306,"Pepper - White, Ground",Dairy,Low,8326798.21,8587402.19,196980,42.27,264,189
381,Vaccum Bag 10x13,Confections,High,8325224.68,8585540.00,194095,42.89,265,188
444,Cheese - Cambozola,Grain,Low,8272617.37,8524442.63,193348,42.79,266,187
417,"Lamb - Pieces, Diced",Beverages,Medium,8251134.93,8517116.42,196346,42.02,267,186
17,"Wine - White, Mosel Gold",Snails,Medium,8227855.18,8479199.04,193068,42.62,268,185
289,Sword Pick Asst,Snails,Low,8215564.25,8477875.42,194818,42.17,269,184
301,Beer - Labatt Blue,Grain,Medium,8187624.75,8442157.99,194466,42.10,270,183
50,Pork - Kidney,Meat,High,8150227.44,8400461.79,194067,42.00,271,182
386,Sprouts - Baby Pea Tendrils,Snails,Medium,8085328.40,8330648.72,195046,41.45,272,181
34,Mustard Prepared,Seafood,Medium,8066356.31,8311739.72,191752,42.07,273,180
398,Wine - Wyndham Estate Bin 777,Produce,High,8030834.19,8288360.08,195650,41.05,274,179
449,Nantuket Peach Orange,Dairy,Low,7957370.93,8202949.93,194653,40.88,275,178
143,Watercress,Confections,Medium,7946261.94,8190712.48,192194,41.35,276,177
411,Durian Fruit,Seafood,Low,7891018.52,8133350.53,193426,40.80,277,176
110,Black Currants,Poultry,High,7850542.32,8090653.10,197614,39.73,278,175
387,Fondant - Icing,Poultry,High,7842093.17,8083717.80,194140,40.39,279,174
187,"Pepper - Black, Whole",Cereals,Medium,7831910.14,8072762.11,195072,40.15,280,173
130,Beef Wellington,Shell fish,Low,7830619.85,8076686.11,192390,40.70,281,172
131,Anchovy Paste - 56 G Tube,Cereals,Medium,7732400.41,7967127.02,194811,39.69,282,171
376,Pasta - Angel Hair,Produce,High,7723560.08,7959803.82,195033,39.60,283,170
311,Wonton Wrappers,Poultry,High,7670548.93,7909927.41,196735,38.99,284,169
150,Langers - Ruby Red Grapfruit,Poultry,High,7615763.80,7848079.81,193040,39.45,285,168
286,Beef - Prime Rib Aaa,Shell fish,Low,7585935.60,7820342.62,193144,39.28,286,167
134,Wine - Toasted Head,Shell fish,High,7568353.61,7803431.39,195798,38.65,287,166
313,Veal - Slab Bacon,Produce,High,7524292.01,7755604.77,194322,38.72,288,165
190,Cake - Cake Sheet Macaroon,Poultry,Medium,7474239.09,7702099.61,193823,38.56,289,164
433,"Beans - Kidney, Red Dry",Cereals,Low,7456223.34,7688530.12,192810,38.67,290,163
216,Scallops - 10/20,Confections,Low,7444421.55,7672647.75,196605,37.86,291,162
326,Appetizer - Mushroom Tart,Poultry,High,7426265.77,7657088.23,197048,37.69,292,161
421,Soup V8 Roasted Red Pepper,Seafood,High,7373622.19,7609204.22,196065,37.61,293,160
329,"Pork - Loin, Center Cut",Seafood,High,7325671.75,7556539.79,192036,38.15,294,159
290,Sauce - Rosee,Confections,Low,7279496.51,7513133.59,193619,37.60,295,158
245,Grouper - Fresh,Confections,Medium,7141557.20,7356618.20,195244,36.58,296,157
396,Tea - Jasmin Green,Seafood,High,7051324.68,7258669.90,196624,35.86,297,156
89,"Beef - Ground, Extra Lean, Fresh",Cereals,Medium,6897812.64,7114783.89,193715,35.61,298,155
361,Coffee Decaf Colombian,Shell fish,Medium,6850112.25,7063627.50,193781,35.35,299,154
262,Bagel - Plain,Meat,Medium,6847971.00,7061195.65,193667,35.36,300,153
198,Lime Cordial - Roses,Confections,Low,6565413.70,6775584.82,192386,34.13,301,152
235,Bread - English Muffin,Seafood,High,6562877.34,6765196.95,196058,33.47,302,151
317,Water - Green Tea Refresher,Cereals,Low,6550517.60,6758137.41,191599,34.19,303,150
111,Scallops 60/80 Iqf,Produce,Medium,6545553.48,6745464.20,193246,33.87,304,149
292,Turkey - Oven Roast Breast,Grain,Low,6459764.24,6659274.11,192819,33.50,305,148
145,Wine - Chardonnay South,Poultry,Low,6452874.68,6648146.03,193182,33.40,306,147
232,Quiche Assorted,Cereals,Medium,6386312.74,6589636.70,194104,32.90,307,146
